altlabels,broaderconceptpt,broaderconcepturi,concepttype,concepturi,description,preferredlabel,reuselevel,skilltype
,resolving computer problems | problem-solving with digital tools,http://data.europa.eu/esco/skill/S5.2.3 | http://data.europa.eu/esco/skill/7e5147d1-60b1-4a68-804b-1f5cb0396b91,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/14832d87-2f2f-4895-b290-e4760ebae42a,"Identify technical problems when operating devices and using digital environments, and solve them (from trouble-shooting to solving more complex problems). solve technical problems,transversal,skill/competence
apply e-services | use e-services | able to use e-services | utilise e-services | make use of e-services | use online payment solutions | using e-services,digital communication and collaboration | using digital tools for collaboration and productivity,http://data.europa.eu/esco/skill/574257ea-7b64-4100-b7b6-e27c233fe143 | http://data.europa.eu/esco/skill/S5.6.1,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/16a00c69-9c74-4c37-96d7-6301d285e5ce,Participate in society through the use of public and private digital services. Seek opportunities for self-empowerment and for participatory citizenship through appropriate digital technologies.,engage in citizenship through digital technologies,transversal,skill/competence
,problem-solving with digital tools | using digital tools for collaboration and productivity,http://data.europa.eu/esco/skill/7e5147d1-60b1-4a68-804b-1f5cb0396b91 | http://data.europa.eu/esco/skill/S5.6.1,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/1a4cc54f-1e53-442b-a6d2-1682dc8ef8f9,Use digital tools and technologies to create knowledge and to innovate processes and products. Engage individually and collectively in cognitive processing to understand and resolve conceptual problems and problem situations in digital environments.,creatively use digital technologies,transversal,skill/competence
,analysing and evaluating information and data | digital data processing,http://data.europa.eu/esco/skill/S2.7.0 | http://data.europa.eu/esco/skill/629685b8-5f9e-4522-8cff-b3e2c4ec625a,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/1d6c7de4-350e-4868-a47b-333b4b0d9650,"Analyse, compare and critically evaluate the credibility and reliability of sources of data, information and digital content. Analyse, interpret and critically evaluate the data, information and digital content. "evaluate data, information and digital content transversal,skill/competence
,digital content creation | software and applications development and analysis,http://data.europa.eu/esco/skill/f5369f2f-e52b-43d8-8d31-79a6c11188d8 | http://data.europa.eu/esco/isced-f/0613,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/21d2f96d-35f7-4e3f-9745-c533d2dd6e97,"The techniques and principles of software development, such as analysis, algorithms, coding, testing and compiling of programming paradigms (e.g. object oriented programming, functional programming) and of programming languages. computer programming,transversal,knowledge
,"problem-solving with digital tools | monitoring, inspecting and testing http://data.europa.eu/esco/skill/7e5147d1-60b1-4a68-804b-1f5cb0396b91 | http://data.europa.eu/esco/skill/S2.8.0,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/238343b1-7b51-42b3-a9ed-cf24d3a236e7,Understand where one’s own digital competence needs to be improved or updated. Be able to support others with their digital competence development. Seek opportunities for self-development and keep up-to-date with the digital evolution.,identify digital competence gaps,transversal,skill/competence
able to use online tools to collaborate | utilise online tools to collaborate | use online tools to collaborate | make use of online tools to collaborate | use VoIP conference calling | use online meeting tools | use concurrent file editing | apply online tools to collaborate | using online tools to collaborate,using digital tools for collaboration and productivity | digital communication and collaboration,http://data.europa.eu/esco/skill/S5.6.1 | http://data.europa.eu/esco/skill/574257ea-7b64-4100-b7b6-e27c233fe143,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/2b34a99f-9813-4c91-9509-b6b9b8c3132e,"Use digital tools and technologies for collaborative processes, and for co-construction and co-creation of resources and knowledge. collaborate through digital technologies,transversal,skill/competence
protect online privacy and identity | safeguarding online privacy and identity | safeguard online privacy and identities | protect digital identity | protect digital privacy | keep online privacy and identity secure | safeguard online privacy and identity | review online privacy settings | take action to ensure online privacy | defend online privacy and identity | safeguard online identity and privacy,ICT safety | protecting privacy and personal data,http://data.europa.eu/esco/skill/426ceaba-6867-481c-bb6b-aee3933da7d2 | http://data.europa.eu/esco/skill/S3.3.6,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/33a82b83-c838-4889-ae62-fae1317481eb,Protect personal data and privacy in digital environments. Understand how to use and share personally identifiable information while being able to protect oneself and others from damages. Understand that digital services use a “Privacy policy” to inform how personal data is used.,protect personal data and privacy,transversal,skill/competence
,using digital tools for collaboration and productivity | digital communication and collaboration,http://data.europa.eu/esco/skill/S5.6.1 | http://data.europa.eu/esco/skill/574257ea-7b64-4100-b7b6-e27c233fe143,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/40001d93-8937-4859-89d5-2dca53290ff4,"Share data, information and digital content with others through appropriate digital technologies. Act as an intermediary, know about referencing and attribution practices. share through digital technologies,transversal,skill/competence
,developing solutions | problem-solving with digital tools,http://data.europa.eu/esco/skill/S1.9.1 | http://data.europa.eu/esco/skill/7e5147d1-60b1-4a68-804b-1f5cb0396b91,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/42fcf80d-7b45-40f3-bd2f-5411c4c0dfa0,"Assess needs and identify, evaluate, select and use digital tools and possible technological responses to solve them. Adjust and customise digital environments to personal needs (e.g. accessibility). identify needs and technological responses,transversal,skill/competence
,managing information | digital data processing,http://data.europa.eu/esco/skill/S2.3.0 | http://data.europa.eu/esco/skill/629685b8-5f9e-4522-8cff-b3e2c4ec625a,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/4d97e3c3-f335-47cc-a4ee-0d779fd42222,"Organise, store and retrieve data, information and content in digital environments. Organise and process them in a structured environment. "manage data, information and digital content transversal,skill/competence
