altlabels,broaderconceptpt,broaderconcepturi,concepttype,concepturi,description,preferredlabel,reuselevel,skilltype
writing Hungarian | correspond in written Hungarian | show competency in written Hungarian,Hungarian,http://data.europa.eu/esco/skill/ddd3596a-43f3-402e-960a-5f79362a8609,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/01f10952-cb59-4347-9aee-d4fbc51c870a,Compose written texts in Hungarian.,write Hungarian,transversal,skill/competence
understanding written Korean | read Korean | interpret written Korean | understand Korean writing | comprehend written Korean | make sense of written Korean,Korean,http://data.europa.eu/esco/skill/f9bc2890-d1f2-4a83-bd7b-b150a7679c79,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/02d68c2b-1722-4440-8e25-376650e123c8,Read and comprehend written texts in Korean.,understand written Korean,transversal,skill/competence
understanding spoken Hungarian | make sense of spoken Hungarian | interpret spoken Hungarian | understand Hungarian speech | listen to Hungarian | comprehend spoken Hungarian,Hungarian,http://data.europa.eu/esco/skill/ddd3596a-43f3-402e-960a-5f79362a8609,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/037b5e5f-db3c-40cd-864e-5b9b9a3a080d,Comprehend orally expressed Hungarian.,understand spoken Hungarian,transversal,skill/competence
understand Welsh speech | make sense of spoken Welsh | understanding spoken Welsh | listen to Welsh | comprehend spoken Welsh | interpret spoken Welsh,Welsh,http://data.europa.eu/esco/skill/8dbd15c6-ecf0-468c-8ae1-f6eb360743dd,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/03a53283-d3ee-41c1-ab3e-eb806616440e,Comprehend orally expressed ​Welsh.,understand spoken Welsh,transversal,skill/competence
communicate verbally in Bosnian | be fluent in Bosnian | interacting verbally in Bosnian | verbally interact in Bosnian | speak Bosnian,Bosnian,http://data.europa.eu/esco/skill/a9fdd2c9-4295-4407-ba3c-1547cbce40a2,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/047218cf-3974-4148-86f8-31464253aa08,Communicate orally in ​Bosnian.,interact verbally in Bosnian,transversal,skill/competence
interpret written Latvian | understanding written Latvian | read Latvian | comprehend written Latvian | make sense of written Latvian | understand Latvian writing,Latvian,http://data.europa.eu/esco/skill/5de39924-769c-4301-82a5-525358dffe50,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/049b5d37-aab3-4b6a-a505-bf254a434b5d,Read and comprehend written texts in Latvian.,understand written Latvian,transversal,skill/competence
correspond in written Finnish | writing Finnish | show competency in written Finnish,Finnish,http://data.europa.eu/esco/skill/0e3493f4-0cad-4fbc-8e02-025f169b8114,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/049de1f6-34ec-46f9-a0b1-8fc6f0199413,Compose written texts in Finnish.,write Finnish,transversal,skill/competence
make sense of spoken Punjabi | comprehend spoken Punjabi | listen to Panjabi | understanding spoken Punjabi | interpret spoken Punjabi | listen to Punjabi | understand Punjabi speech | comprehend spoken Panjabi,Punjabi,http://data.europa.eu/esco/skill/e05b9e06-d298-4646-b762-acbd485a20e9,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/04bd6e5b-9f81-4c3d-a81f-d7ac2c08dfd9,Comprehend orally expressed Punjabi.,understand spoken Punjabi,transversal,skill/competence
speak Provençal | communicate verbally in Occitan | speak Occitan | verbally interact in Occitan | speak Languedoc | be fluent in Occitan | interacting verbally in Occitan,Occitan,http://data.europa.eu/esco/skill/57cc6587-7efe-4ba5-982f-ac15ce1617ac,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/078a25a4-1ac2-4c83-b0ed-8f8573c4633a,Communicate orally in ​Occitan.,interact verbally in Occitan,transversal,skill/competence
be fluent in Czech | communicate verbally in Czech | verbally interact in Czech | speak Czech | interacting verbally in Czech,Czech,http://data.europa.eu/esco/skill/da0795a7-6866-4afc-81ed-5e3aa398f058,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0799a646-288c-4fcd-a6fd-d97a41c1bf5b,Communicate orally in Czech.,interact verbally in Czech,transversal,skill/competence
understanding written Ukrainian | read Ukrainian | understand Ukrainian writing | comprehend written Ukrainian | make sense of written Ukrainian | interpret written Ukrainian,Ukrainian,http://data.europa.eu/esco/skill/354b948c-7eef-4ebc-bfd6-f60d7d5acb62,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/07cacd8e-6aaf-4cab-abeb-28319f454606,Read and comprehend written texts in Ukrainian.,understand written Ukrainian,transversal,skill/competence
understanding written Spanish | read Spanish | understand Spanish writing | read Castilian | make sense of written Spanish | interpret written Spanish | comprehend written Spanish,Spanish,http://data.europa.eu/esco/skill/14ee9f76-3524-43d5-8a1a-5ba8283f8bd7,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/08759658-fffc-4951-bea0-1fb51d06eb89,Read and comprehend written texts in Spanish.,understand written Spanish,transversal,skill/competence
interpret written Armenian | make sense of written Armenian | read Armenian | comprehend written Armenian | understand Armenian writing | understanding written Armenian,Armenian,http://data.europa.eu/esco/skill/fcbcdf4c-d079-4010-ab4b-8356fbfa5096,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/08ee9a78-5eb5-426c-b34e-9ef0e0f88cc5,Read and comprehend written texts in Armenian.,understand written Armenian,transversal,skill/competence
correspond in written basa jawa | correspond in written cara jawa | writing Javanese | show competency in written Javanese | correspond in written Javanese,Javanese,http://data.europa.eu/esco/skill/7a86907d-1fd5-4e8f-b0f1-f366a14f6f6d,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0a1e6554-1c6b-42c6-970b-8d9a307cdb5e,Compose written texts in Javanese.,write Javanese,transversal,skill/competence
show competency in written Bosnian | writing Bosnian | correspond in written Bosnian,Bosnian,http://data.europa.eu/esco/skill/a9fdd2c9-4295-4407-ba3c-1547cbce40a2,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0a35de65-e51d-4862-a425-2f4dd5c4a982,Compose written texts in Bosnian.,write Bosnian,transversal,skill/competence
interpret written Sardinian | comprehend written Sard | make sense of written Sardinian | comprehend written Sardinian | understand Sardinian writing | read Sardinian | understanding written Sardinian | comprehend written Sardu,Sardinian,http://data.europa.eu/esco/skill/1627c1b9-31e1-4742-bf5c-cfec2ce33cfc,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0dc4ee3d-3e51-4765-bc1c-996707beeea1,Read and comprehend written texts in ​Sardinian.,understand written Sardinian,transversal,skill/competence
,languages | language,http://data.europa.eu/esco/skill/L1 | http://data.europa.eu/esco/skill/58095196-d766-4a5c-b16c-d941489f8e66,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0e3493f4-0cad-4fbc-8e02-025f169b8114,The Finnish language. Finnish is an official and working language of the EU.,Finnish,transversal,knowledge
show competency in written Ukrainian | writing Ukrainian | correspond in written Ukrainian,Ukrainian,http://data.europa.eu/esco/skill/354b948c-7eef-4ebc-bfd6-f60d7d5acb62,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0e91219a-e74a-46e6-bcf9-9e14da031343,Compose written texts in Ukrainian.,write Ukrainian,transversal,skill/competence
interacting verbally in English | speak English | be fluent in English | verbally interact in English | communicate verbally in English,English,http://data.europa.eu/esco/skill/6d3edede-8951-4621-a835-e04323300fa0,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0ee9e985-0ee5-4a73-8a12-78b53b261bb2,Communicate orally  in English.,interact verbally in English,transversal,skill/competence
