Analyze (AN),Exploitation Analyst (AN-EXP-001): Collaborates to identify access and collection gaps that can be satisfied through cyber collection and/or preparation activities. Leverages all authorized resources and analytic techniques to penetrate targeted networks.,Click to view the Master Task List
Exploitation Analysis (EXP),,Click to return to the Table of Contents
,,OPM 121
Task ID,Task,
T0028,Conduct and/or support authorized penetration testing on enterprise network assets.,
T0266,Perform penetration testing as required for new or updated applications.,
T0570,Apply and utilize authorized cyber capabilities to enable access to targeted networks.,
T0572,"Apply cyber collection, environment preparation and engagement expertise to enable new exploitation and/or continued collection operations, or in support of customer requirements. 
T0574,"Apply and obey applicable statutes, laws, regulations and policies. 
T0591,Perform analysis for target infrastructure exploitation activities.,
T0600,Collaborate with other internal and external partner organizations on target access and operational issues.,
T0603,"Communicate new developments, breakthroughs, challenges and lessons learned to leadership, and internal and external customers. 
T0608,"Conduct analysis of physical and logical digital technologies (e.g., wireless, SCADA, telecom) to identify potential avenues of access.  
T0614,"Conduct independent in-depth target and technical analysis including target-specific information (e.g., cultural, organizational, political) that results in access. 
T0641,Create comprehensive exploitation strategies that identify exploitable technical or operational vulnerabilities.,
T0695,Examine intercept-related metadata and content with an understanding of targeting significance.,
T0701,"Collaborate with developers, conveying target and technical knowledge in tool requirements submissions, to enhance tool development. 
T0720,Identify gaps in our understanding of target technology and developing innovative collection approaches.,
T0727,"Identify, locate, and track targets via geospatial analysis techniques. 
T0736,Lead or enable exploitation operations in support of organization objectives and target requirements.,
T0738,"Maintain awareness of advancements in hardware and software technologies (e.g., attend training or conferences, reading) and their potential implications. 
T0754,Monitor target networks to provide indications and warning of target communications changes or processing failures.,
T0775,Produce network reconstructions.,
T0777,Profile network or system administrators and their activities.,
