Analyze (AN),"Target Developer (AN-TGT-001): Performs target system analysis, builds and/or maintains electronic target folders to include inputs from environment preparation, and/or internal or external intelligence sources. Coordinates with partner target activities and intelligence organizations, and presents candidate targets for vetting and validation. Click to view the Master KSA List
Targets (TGT),,Click to return to the Table of Contents
,,OPM 131
KSA ID,KSA,
Knowledge,,
K0001,"Knowledge of computer networking concepts and protocols, and network security methodologies.  
K0002,"Knowledge of risk management processes (e.g., methods for assessing and mitigating risk). 
K0003,"Knowledge of laws, regulations, policies, and ethics as they relate to cybersecurity and privacy.  
K0004,Knowledge of cybersecurity and privacy principles.,
K0005,Knowledge of cyber threats and vulnerabilities. ,
K0006,Knowledge of specific operational impacts of cybersecurity lapses.,
K0036,Knowledge of human-computer interaction principles.,
K0058,Knowledge of network traffic analysis methods.,
K0108,"Knowledge of concepts, terminology, and operations of a wide range of communications media (computer and telephone networks, satellite, fiber, wireless). 
K0109,"Knowledge of physical computer components and architectures, including the functions of various components and peripherals (e.g., CPUs, Network Interface Cards, data storage). 
K0142,"Knowledge of collection management processes, capabilities, and limitations. 
K0177,"Knowledge of cyber attack stages (e.g., reconnaissance, scanning, enumeration, gaining access, escalation of privileges, maintaining access, network exploitation, covering tracks). 
K0349,"Knowledge of website types, administration, functions, and content management system (CMS). 
K0351,"Knowledge of applicable statutes, laws, regulations and policies governing cyber targeting and exploitation. 
K0357,Knowledge of analytical constructs and their use in assessing the operational environment,
K0362,"Knowledge of attack methods and techniques (DDoS, brute force, spoofing, etc.). 
K0379,"Knowledge of client organizations, including information needs, objectives, structure, capabilities, etc. 
K0381,Knowledge of collateral damage and estimating impact(s).,
K0392,"Knowledge of common computer/network infections (virus, Trojan, etc.) and methods of infection (ports, attachments, etc.). 
K0395,"Knowledge of computer networking fundamentals (i.e., basic computer components of a network, types of networks, etc.). 
K0402,"Knowledge of criticality and vulnerability factors (e.g., value, recuperation, cushion, countermeasures) for target selection and applicability to the cyber domain. 
K0409,Knowledge of cyber intelligence/information collection capabilities and repositories.,
K0413,"Knowledge of cyber operation objectives, policies, and legalities.  
K0417,"Knowledge of data communications terminology (e.g., networking protocols, Ethernet, IP, encryption, optical devices, removable media). 
K0426,Knowledge of dynamic and deliberate targeting.,
K0427,"Knowledge of encryption algorithms and cyber capabilities/tools (e.g., SSL, PGP). 
K0431,Knowledge of evolving/emerging communications technologies.,
K0436,"Knowledge of fundamental cyber operations concepts, terminology/lexicon (i.e., environment preparation, cyber-attack, cyber defense), principles, capabilities, limitations, and effects. 
K0437,Knowledge of general Supervisory control and data acquisition (SCADA) system components.,
K0439,Knowledge of governing authorities for targeting.,
K0440,Knowledge of host-based security products and how those products affect exploitation and reduce vulnerability.,
K0444,"Knowledge of how Internet applications work (SMTP email, web-based email, chat clients, VOIP). 
K0445,Knowledge of how modern digital and telephony networks impact cyber operations.,
K0446,Knowledge of how modern wireless communications systems impact cyber operations.,
K0449,"Knowledge of how to extract, analyze, and use metadata. 
K0457,Knowledge of intelligence confidence levels.,
K0458,Knowledge of intelligence disciplines.,
K0460,Knowledge of intelligence preparation of the environment and similar processes.,
K0461,Knowledge of intelligence production processes.,
K0464,"Knowledge of intelligence support to planning, execution, and assessment. 
K0465,Knowledge of internal and external partner cyber operations capabilities and tools.,
K0466,Knowledge of internal and external partner intelligence processes and the development of information requirements and essential information.,
K0471,"Knowledge of Internet network addressing (IP addresses, classless inter-domain routing, TCP/UDP port numbering). 
K0473,Knowledge of intrusion sets.,
K0478,Knowledge of legal considerations in targeting.,
K0479,Knowledge of malware analysis and characteristics.,
K0497,Knowledge of operational effectiveness assessment.,
K0499,Knowledge of operations security.,
K0507,Knowledge of organization or partner exploitation of digital networks.,
K0516,"Knowledge of physical and logical network devices and infrastructure to include hubs, switches, routers, firewalls, etc. 
K0533,"Knowledge of specific target identifiers, and their usage. 
K0542,"Knowledge of target development (i.e., concepts, roles, responsibilities, products, etc.). 
K0543,Knowledge of target estimated repair and recuperation times.,
K0546,"Knowledge of target list development (i.e. Restricted, Joint, Candidate, etc.). 
K0547,Knowledge of target methods and procedures.,
K0549,Knowledge of target vetting and validation procedures.,
K0551,Knowledge of targeting cycles.,
K0555,Knowledge of TCP/IP networking protocols.,
K0556,Knowledge of telecommunications fundamentals.,
K0560,"Knowledge of the basic structure, architecture, and design of modern communication networks. 
K0561,"Knowledge of the basics of network security (e.g., encryption, firewalls, authentication, honey pots, perimeter protection). 
K0565,"Knowledge of the common networking and routing protocols (e.g. TCP/IP), services (e.g., web, mail, DNS), and how they interact to provide network communications. 
K0598,"Knowledge of the structure and intent of organization specific plans, guidance and authorizations. 
K0603,Knowledge of the ways in which targets or threats use the Internet.,
K0604,Knowledge of threat and/or target systems.,
K0614,"Knowledge of wireless technologies (e.g., cellular, satellite, GSM) to include the basic structure, architecture, and design of modern wireless communications systems. 
,,
Skills,,
