Analyze (AN),"Threat/Warning Analyst (AN-TWA-001): Develops cyber indicators to maintain awareness of the status of the highly dynamic operating environment. Collects, processes, analyzes, and disseminates cyber threat/warning assessments. Click to view the Master KSA List
Threat Analysis (TWA),,Click to return to the Table of Contents
,,OPM 141
KSA ID,KSA,
Knowledge,,
K0001,"Knowledge of computer networking concepts and protocols, and network security methodologies.  
K0002,"Knowledge of risk management processes (e.g., methods for assessing and mitigating risk). 
K0003,"Knowledge of laws, regulations, policies, and ethics as they relate to cybersecurity and privacy.  
K0004,Knowledge of cybersecurity and privacy principles.,
K0005,Knowledge of cyber threats and vulnerabilities. ,
K0006,Knowledge of specific operational impacts of cybersecurity lapses.,
K0036,Knowledge of human-computer interaction principles.,
K0058,Knowledge of network traffic analysis methods.,
K0108,"Knowledge of concepts, terminology, and operations of a wide range of communications media (computer and telephone networks, satellite, fiber, wireless). 
K0109,"Knowledge of physical computer components and architectures, including the functions of various components and peripherals (e.g., CPUs, Network Interface Cards, data storage). 
K0177,"Knowledge of cyber attack stages (e.g., reconnaissance, scanning, enumeration, gaining access, escalation of privileges, maintaining access, network exploitation, covering tracks). 
K0349,"Knowledge of website types, administration, functions, and content management system (CMS). 
K0362,"Knowledge of attack methods and techniques (DDoS, brute force, spoofing, etc.). 
K0377,"Knowledge of classification and control markings standards, policies and procedures. 
K0392,"Knowledge of common computer/network infections (virus, Trojan, etc.) and methods of infection (ports, attachments, etc.). 
K0395,"Knowledge of computer networking fundamentals (i.e., basic computer components of a network, types of networks, etc.). 
K0405,Knowledge of current computer-based intrusion sets.,
K0409,Knowledge of cyber intelligence/information collection capabilities and repositories.,
K0415,Knowledge of cyber operations terminology/lexicon.,
K0417,"Knowledge of data communications terminology (e.g., networking protocols, Ethernet, IP, encryption, optical devices, removable media). 
K0427,"Knowledge of encryption algorithms and cyber capabilities/tools (e.g., SSL, PGP). 
K0431,Knowledge of evolving/emerging communications technologies.,
K0436,"Knowledge of fundamental cyber operations concepts, terminology/lexicon (i.e., environment preparation, cyber-attack, cyber defense), principles, capabilities, limitations, and effects. 
K0437,Knowledge of general Supervisory control and data acquisition (SCADA) system components.,
K0440,Knowledge of host-based security products and how those products affect exploitation and reduce vulnerability.,
K0444,"Knowledge of how Internet applications work (SMTP email, web-based email, chat clients, VOIP). 
K0445,Knowledge of how modern digital and telephony networks impact cyber operations.,
K0446,Knowledge of how modern wireless communications systems impact cyber operations.,
K0449,"Knowledge of how to extract, analyze, and use metadata. 
K0458,Knowledge of intelligence disciplines.,
K0460,Knowledge of intelligence preparation of the environment and similar processes.,
K0464,"Knowledge of intelligence support to planning, execution, and assessment. 
K0469,Knowledge of internal tactics to anticipate and/or emulate threat capabilities and actions.,
K0471,"Knowledge of Internet network addressing (IP addresses, classless inter-domain routing, TCP/UDP port numbering). 
K0480,Knowledge of malware.,
K0499,Knowledge of operations security.,
K0511,Knowledge of organizational hierarchy and cyber decision-making processes.,
K0516,"Knowledge of physical and logical network devices and infrastructure to include hubs, switches, routers, firewalls, etc. 
K0556,Knowledge of telecommunications fundamentals.,
