Investigate (IN),"Cyber Crime Investigator (IN-INV-001): Identifies, collects, examines, and preserves evidence using controlled and documented analytical and investigative techniques. Click to view the Master KSA List
Cyber Investigation (INV),,Click to return to the Table of Contents
,,OPM 221
KSA ID,KSA,
Knowledge,,
K0001,"Knowledge of computer networking concepts and protocols, and network security methodologies.  
K0002,"Knowledge of risk management processes (e.g., methods for assessing and mitigating risk). 
K0003,"Knowledge of laws, regulations, policies, and ethics as they relate to cybersecurity and privacy.  
K0004,Knowledge of cybersecurity and privacy principles.,
K0005,Knowledge of cyber threats and vulnerabilities. ,
K0006,Knowledge of specific operational impacts of cybersecurity lapses.,
K0046,Knowledge of intrusion detection methodologies and techniques for detecting host and network-based intrusions.,
K0070,"Knowledge of system and application security threats and vulnerabilities (e.g., buffer overflow, mobile code, cross-site scripting, Procedural Language/Structured Query Language [PL/SQL] and injections, race conditions, covert channel, replay, return-oriented attacks, malicious code). 
K0107,"Knowledge of Insider Threat investigations, reporting, investigative tools and laws/regulations. 
K0110,"Knowledge of adversarial tactics, techniques, and procedures. 
K0114,"Knowledge of electronic devices (e.g., computer systems/components, access control devices, digital cameras, digital scanners, electronic organizers, hard drives, memory cards, modems, network components, networked appliances, networked home control devices, printers, removable storage devices, telephones, copiers, facsimile machines, etc.). 
K0118,Knowledge of processes for seizing and preserving digital evidence.,
K0123,Knowledge of legal governance related to admissibility (e.g. Rules of Evidence). ,
K0125,"Knowledge of processes for collecting, packaging, transporting, and storing electronic evidence while maintaining chain of custody. 
K0128,Knowledge of types and collection of persistent data.,
K0144,Knowledge of social dynamics of computer attackers in a global context.,
K0155,Knowledge of electronic evidence law.,
K0156,Knowledge of legal rules of evidence and court procedure.,
K0168,"Knowledge of applicable laws, statutes (e.g., in Titles 10, 18, 32, 50 in U.S. Code), Presidential Directives, executive branch guidelines, and/or administrative/criminal legal guidelines and procedures. 
K0209,Knowledge of covert communication techniques.,
K0231,"Knowledge of crisis management protocols, processes, and techniques.  
K0244,Knowledge of physical and physiological behaviors that may indicate suspicious or abnormal activity.,
K0251,"Knowledge of the judicial process, including the presentation of facts and evidence. 
K0351,"Knowledge of applicable statutes, laws, regulations and policies governing cyber targeting and exploitation. 
K0624,Knowledge of Application Security Risks (e.g. Open Web Application Security Project Top 10 list),
,,
Skills,,
S0047,Skill in preserving evidence integrity according to standard operating procedures or national standards.,
S0068,"Skill in collecting, processing, packaging, transporting, and storing electronic evidence to avoid alteration, loss, physical damage, or destruction of data. 
S0072,Skill in using scientific rules and methods to solve problems.,
S0086,Skill in evaluating the trustworthiness of the supplier and/or product.,
,,
Abilities,,
A0174,Ability to find and navigate the dark web using the TOR network to locate markets and forums.,
A0175,Ability to examine digital media on multiple operating system platforms.,
