Investigate (IN),"Cyber Crime Investigator (IN-INV-001): Identifies, collects, examines, and preserves evidence using controlled and documented analytical and investigative techniques. Click to view the Master Task List
Cyber Investigation (INV),,Click to return to the Table of Contents
,,OPM 221
Task ID,Task,
T0031,Conduct interviews of victims and witnesses and conduct interviews or interrogations of suspects.,
T0059,"Develop a plan to investigate alleged crime, violation, or suspicious activity utilizing computers and the Internet. 
T0096,"Establish relationships, if applicable, between the incident response team and other groups, both internal (e.g., legal department) and external (e.g., law enforcement agencies, vendors, public relations professionals). 
T0103,Examine recovered data for information of relevance to the issue at hand.,
T0104,Fuse computer network attack analyses with criminal and counterintelligence investigations and operations.,
T0110,Identify and/or determine whether a security incident is indicative of a violation of law that requires specific legal action.,
T0112,Identify data or intelligence of evidentiary value to support counterintelligence and criminal investigations.,
T0113,Identify digital evidence for examination and analysis in such a way as to avoid unintentional alteration.,
T0114,Identify elements of proof of the crime.,
T0120,"Identify, collect, and seize documentary or physical evidence, to include digital media and logs associated with cyber intrusion incidents, investigations, and operations. 
T0193,Process crime scenes.,
T0225,Secure the electronic device or information source.,
T0241,"Use specialized equipment and techniques to catalog, document, extract, collect, package, and preserve digital evidence. 
T0343,"Analyze the crisis to ensure public, personal, and resource protection. 
T0346,"Assess the behavior of the individual victim, witness, or suspect as it relates to the investigation. 
T0360,Determine the extent of threats and recommend courses of action or countermeasures to mitigate risks.,
T0386,Provide criminal investigative support to trial counsel during the judicial process. ,
T0423,Analyze computer-generated threats for counter intelligence or criminal activity. ,
T0430,Gather and preserve evidence used on the prosecution of computer crimes.,
T0433,"Conduct analysis of log files, evidence, and other information to determine best methods for identifying the perpetrator(s) of a network intrusion or other crimes. 
T0453,Determine and develop leads and identify sources of information to identify and/or prosecute the responsible parties to an intrusion or other crimes.,
T0471,"Document original condition of digital and/or associated evidence (e.g., via digital photographs, written reports, hash function checking). 
T0479,"Employ information technology (IT) systems and digital storage media to solve, investigate, and/or prosecute cybercrimes and fraud committed against people and property.  
T0523,Prepare reports to document the investigation following legal standards and requirements.,
