Oversee and Govern (OV),Executive Cyber Leadership (OV-EXL-001): Executes decision-making authorities and establishes vision and direction for an organization's cyber and cyber-related resources and/or operations.,Click to view the Master KSA List
Executive Cyber Leadership (EXL),,Click to return to the Table of Contents
,,OPM 901
KSA ID,KSA,
Knowledge,,
K0001,"Knowledge of computer networking concepts and protocols, and network security methodologies.  
K0002,"Knowledge of risk management processes (e.g., methods for assessing and mitigating risk). 
K0003,"Knowledge of laws, regulations, policies, and ethics as they relate to cybersecurity and privacy.  
K0004,Knowledge of cybersecurity and privacy principles.,
K0005,Knowledge of cyber threats and vulnerabilities. ,
K0006,Knowledge of specific operational impacts of cybersecurity lapses.,
K0009,Knowledge of application vulnerabilities.,
K0070,"Knowledge of system and application security threats and vulnerabilities (e.g., buffer overflow, mobile code, cross-site scripting, Procedural Language/Structured Query Language [PL/SQL] and injections, race conditions, covert channel, replay, return-oriented attacks, malicious code). 
K0106,Knowledge of what constitutes a network attack and a network attack’s relationship to both threats and vulnerabilities.,
K0314,Knowledge of industry technologies’ potential cybersecurity vulnerabilities.,
K0296,"Knowledge of capabilities, applications, and potential vulnerabilities of network equipment including hubs, routers, switches, bridges, servers, transmission media, and related hardware. 
K0147,"Knowledge of emerging security issues, risks, and vulnerabilities. 
K0624,Knowledge of Application Security Risks (e.g. Open Web Application Security Project Top 10 list),
K0628,"Knowledge of cyber competitions as a way of developing skills by providing hands-on experience in simulated, real-world situations. 
,,
Skills,,
S0018,Skill in creating policies that reflect system security objectives.,
S0356,"Skill in communicating with all levels of management including Board members (e.g., interpersonal skills, approachability, effective listening skills, appropriate use of style and language for the audience).  
S0357,Skill to anticipate new security threats.,
S0358,Skill to remain aware of evolving technical infrastructures.,
S0359,Skill to use critical thinking to analyze organizational patterns and relationships.,
,,
Abilities,,
A0033,"Ability to develop policy, plans, and strategy in compliance with laws, regulations, policies, and standards in support of organizational cyber activities. 
A0070,Ability to apply critical reading/thinking skills.,
A0085,Ability to exercise judgment when policies are not well-defined.,
A0094,"Ability to interpret and apply laws, regulations, policies, and guidance relevant to organization cyber objectives. 
A0105,Ability to tailor technical and planning information to a customer’s level of understanding.,
A0106,Ability to think critically.,
A0116,Ability to prioritize and allocate cybersecurity resources correctly and efficiently.,
A0117,"Ability to relate strategy, business, and technology in the context of organizational dynamics. 
A0118,"Ability to understand technology, management, and leadership issues related to organization processes and problem solving. 
A0119,Ability to understand the basic concepts and issues related to cyber and its organizational impact.,
A0129,Ability to ensure information security management processes are integrated with strategic and operational planning processes.,
A0130,Ability to ensure that senior officials within the organization provide information security for the information and systems that support the operations and assets under their control.,
