Oversee and Govern (OV),Executive Cyber Leadership (OV-EXL-001): Executes decision-making authorities and establishes vision and direction for an organization's cyber and cyber-related resources and/or operations.,Click to view the Master Task List
Executive Cybersecurity Leadership (EXL),,Click to return to the Table of Contents
,,OPM 901
Task ID,Task,
T0001,"Acquire and manage the necessary resources, including leadership support, financial resources, and key security personnel, to support information technology (IT) security goals and objectives and reduce overall organizational risk. 
T0002,"Acquire necessary resources, including financial resources, to conduct an effective enterprise continuity of operations program. 
T0004,"Advise senior management (e.g., CIO) on cost/benefit analysis of information security programs, policies, processes, systems, and elements. 
T0006,Advocate organization's official position in legal and legislative proceedings.,
T0025,Communicate the value of information technology (IT) security throughout all levels of the organization stakeholders.,
T0066,Develop and maintain strategic plans.,
T0130,"Interface with external organizations (e.g., public affairs, law enforcement, Command or Component Inspector General) to ensure appropriate and accurate dissemination of incident and other Computer Network Defense information. 
T0134,Lead and align information technology (IT) security priorities with the security strategy.,
T0135,"Lead and oversee information security budget, staffing, and contracting. 
T0148,"Manage the publishing of Computer Network Defense guidance (e.g., TCNOs, Concept of Operations, Net Analyst Reports, NTSM, MTOs) for the enterprise constituency. 
T0151,Monitor and evaluate the effectiveness of the enterprise's cybersecurity safeguards to ensure that they provide the intended level of protection.,
T0227,Recommend policy and coordinate review and approval.,
T0229,Supervise or manage protective or corrective measures when a cybersecurity incident or vulnerability is discovered.,
T0229,Supervise or manage protective or corrective measures when a cybersecurity incident or vulnerability is discovered.,
T0248,Promote awareness of security issues among management and ensure sound security principles are reflected in the organization's vision and goals.,
T0254,Oversee policy standards and implementation strategies to ensure procedures and guidelines comply with cybersecurity policies.,
T0263,Identify security requirements specific to an information technology (IT) system in all phases of the system life cycle.,
T0264,"Ensure that plans of actions and milestones or remediation plans are in place for vulnerabilities identified during risk assessments, audits, inspections, etc. 
T0282,Define and/or implement policies and procedures to ensure protection of critical infrastructure as appropriate.,
T0337,"Supervise and assign work to programmers, designers, technologists and technicians, and other engineering and scientific personnel. 
T0356,Coordinate with organizational manpower stakeholders to ensure appropriate allocation and distribution of human capital assets.,
T0429,Assess policy needs and collaborate with stakeholders to develop policies to govern cyber activities.,
T0445,"Design/integrate a cyber strategy that outlines the vision, mission, and goals that align with the organization’s strategic plan. 
T0509,Perform an information security risk assessment.,
T0763,"Conduct long-range, strategic planning efforts with internal and external partners in cyber activities. 
T0871,Collaborate on cyber privacy and security policies and procedures,
T0872,Collaborate with cybersecurity personnel on the security risk assessment process to address privacy compliance and risk mitigation,
T0927,Appoint and guide a team of IT security experts.,
T0928,Collaborate with key stakeholders to establish a cybersecurity risk management program.,
