Oversee and Govern (OV),Product Support Manager (OV-PMA-003): Manages the package of support functions required to field and maintain the readiness and operational capability of systems and components.,Click to view the Master Task List
Project Management/Acquisition and Program (PMA),,Click to return to the Table of Contents
,,OPM 803
Task ID,Task,
T0072,"Develop methods to monitor and measure risk, compliance, and assurance efforts. 
T0174,Perform needs analysis to determine opportunities for new and improved business process solutions.,
T0196,"Provide advice on project costs, design concepts, or design changes. 
T0204,Provide input to implementation plans and standard operating procedures.,
T0207,Provide ongoing optimization and problem-solving support.,
T0208,Provide recommendations for possible improvements and upgrades.,
T0220,"Resolve conflicts in laws, regulations, policies, standards, or procedures. 
T0223,Review or conduct audits of information technology (IT) programs and projects.,
T0256,Evaluate the effectiveness of procurement function in addressing information security requirements and supply chain risks through procurement activities and recommend improvements.,
T0273,"Develop and document supply chain risks for critical system elements, as appropriate. 
T0277,"Ensure that all acquisitions, procurements, and outsourcing efforts address information security requirements consistent with organization goals. 
T0302,"Develop contract language to ensure supply chain, system, network, and operational security are met. 
T0340,"Act as a primary stakeholder in the underlying information technology (IT) operational processes and functions that support the service, provide direction and monitor all significant activities so the service is delivered successfully. 
T0354,Coordinate and manage the overall service provided to a customer end-to-end.,
T0370,Ensure that appropriate Service-Level Agreements (SLAs) and underpinning contracts have been defined that clearly set out for the customer a description of the service and the measures for monitoring the service.,
T0377,Gather feedback on customer satisfaction and internal service performance to foster continual improvement.,
T0389,"Review service performance reports identifying any significant issues and variances, initiating, where necessary, corrective actions and ensuring that all outstanding issues are followed up. 
T0394,"Work with other service managers and product owners to balance and prioritize services to meet overall customer requirements, constraints, and objectives. 
T0412,Conduct import/export reviews for acquiring systems and software.,
T0414,"Develop supply chain, system, network, performance, and cybersecurity requirements. 
T0493,"Lead and oversee budget, staffing, and contracting. 
T0525,Provide enterprise cybersecurity and supply chain risk management guidance.,
T0551,Draft and publish supply chain security and risk management documents.,
T0553,"Apply cybersecurity functions (e.g., encryption, access control, and identity management) to reduce exploitation opportunities. 
