Oversee and Govern (OV),Cyber Instructor (OV-TEA-002): Develops and conducts training or education of personnel within cyber domain.,Click to view the Master KSA List
"Training, Education, and Awareness (TEA) ,Click to return to the Table of Contents
,,OPM 712
KSA ID,KSA,
Knowledge,,
K0001,"Knowledge of computer networking concepts and protocols, and network security methodologies.  
K0002,"Knowledge of risk management processes (e.g., methods for assessing and mitigating risk). 
K0003,"Knowledge of laws, regulations, policies, and ethics as they relate to cybersecurity and privacy.  
K0004,Knowledge of cybersecurity and privacy principles.,
K0005,Knowledge of cyber threats and vulnerabilities. ,
K0006,Knowledge of specific operational impacts of cybersecurity lapses.,
K0007,"Knowledge of authentication, authorization, and access control methods. 
K0059,Knowledge of new and emerging information technology (IT) and cybersecurity technologies.,
K0115,Knowledge that technology that can be exploited.,
K0124,Knowledge of multiple cognitive domains and tools and methods applicable for learning in each domain.,
K0130,Knowledge of virtualization technologies and virtual machine development and maintenance.,
K0146,Knowledge of the organization's core business/mission processes.,
K0147,"Knowledge of emerging security issues, risks, and vulnerabilities. 
K0204,"Knowledge of learning assessment techniques (rubrics, evaluation plans, tests, quizzes). 
K0208,Knowledge of computer based training and e-learning services. ,
K0213,"Knowledge of instructional design and evaluation models (e.g., ADDIE, Smith/Ragan model, Gagne’s Events of Instruction, Kirkpatrick’s model of evaluation). 
K0215,Knowledge of organizational training policies.,
K0216,"Knowledge of learning levels (i.e., Bloom’s Taxonomy of learning). 
K0217,Knowledge of Learning Management Systems and their use in managing learning.,
K0218,"Knowledge of learning styles (e.g., assimilator, auditory, kinesthetic). 
K0220,"Knowledge of modes of learning (e.g., rote learning, observation). 
K0226,Knowledge of organizational training systems.,
K0239,"Knowledge of media production, communication, and dissemination techniques and methods, including alternative ways to inform via written, oral, and visual media. 
K0245,Knowledge of principles and processes for conducting training and education needs assessment.,
K0246,"Knowledge of relevant concepts, procedures, software, equipment, and technology applications. 
K0250,Knowledge of Test & Evaluation processes for learners.,
K0252,"Knowledge of training and education principles and methods for curriculum design, teaching and instruction for individuals and groups, and the measurement of training and education effects. 
K0287,Knowledge of an organization's information classification program and procedures for information compromise.,
K0313,"Knowledge of external organizations and academic institutions with cyber focus (e.g., cyber curriculum/training and Research & Development). 
K0319,Knowledge of technical delivery capabilities and their limitations.,
K0628,"Knowledge of cyber competitions as a way of developing skills by providing hands-on experience in simulated, real-world situations. 
,,
Skills,,
S0001,Skill in conducting vulnerability scans and recognizing vulnerabilities in security systems.,
S0004,Skill in analyzing network traffic capacity and performance characteristics.,
S0006,"Skill in applying confidentiality, integrity, and availability principles. 
S0051,Skill in the use of penetration testing tools and techniques.,
S0052,"Skill in the use of social engineering techniques. (e.g., phishing, baiting, tailgating, etc.). 
S0053,Skill in tuning sensors.,
S0055,Skill in using knowledge management technologies.,
S0056,"Skill in using network management tools to analyze network traffic patterns (e.g., simple network management protocol). 
S0057,Skill in using protocol analyzers.,
S0060,"Skill in writing code in a currently supported programming language (e.g., Java, C++). 
S0064,Skill in developing and executing technical training programs and curricula.,
S0070,Skill in talking to others to convey information effectively.,
S0073,"Skill in using virtual machines. (e.g., Microsoft Hyper-V, VMWare vSphere, Citrix XenDesktop/Server, Amazon Elastic Compute Cloud, etc.). 
S0075,"Skill in conducting forensic analyses in multiple operating system environments (e.g., mobile device systems). 
S0076,"Skill in configuring and utilizing software-based computer protection tools (e.g., software firewalls, antivirus software, anti-spyware). 
S0081,"Skill in using network analysis tools to identify vulnerabilities. (e.g., fuzzing, nmap, etc.). 
