Oversee and Govern (OV),Cyber Instructor (OV-TEA-002): Develops and conducts training or education of personnel within cyber domain.,Click to view the Master Task List
"Training, Education, and Awareness (TEA) ,Click to return to the Table of Contents
,,OPM 712
Task ID,Task,
T0030,Conduct interactive training exercises to create an effective learning environment.,
T0073,Develop new or identify existing awareness and training materials that are appropriate for intended audiences.,
T0101,Evaluate the effectiveness and comprehensiveness of existing training programs.,
T0224,"Review training documentation (e.g., Course Content Documents [CCD], lesson plans, student texts, examinations, Schedules of Instruction [SOI], and course descriptions). 
T0230,Support the design and execution of exercise scenarios.,
T0247,"Write instructional materials (e.g., standard operating procedures, production manual) to provide detailed guidance to relevant portion of the workforce. 
T0316,Develop or assist in the development of computer based training modules or classes.,
T0317,Develop or assist in the development of course assignments.,
T0318,Develop or assist in the development of course evaluations.,
T0319,Develop or assist in the development of grading and proficiency standards.,
T0320,"Assist in the development of individual/collective development, training, and/or remediation plans. 
T0321,Develop or assist in the development of learning objectives and goals.,
T0322,Develop or assist in the development of on-the-job training materials or programs.,
T0323,Develop or assist in the development of written tests for measuring and assessing learner proficiency.,
T0352,Conduct learning needs assessments and identify requirements.,
T0365,Develop or assist in the development of training policies and protocols for cyber training.,
T0367,Develop the goals and objectives for cyber curriculum.,
T0381,Present technical information to technical and nontechnical audiences.,
T0382,Present data in creative formats.,
T0395,Write and publish after action reviews.,
T0443,Deliver training courses tailored to the audience and physical/virtual environments.,
T0444,"Apply concepts, procedures, software, equipment, and/or technology applications to students. 
T0450,Design training curriculum and course content based on requirements.,
T0451,Participate in development of training curriculum and course content.,
T0467,"Ensure that training meets the goals and objectives for cybersecurity training, education, or awareness. 
T0519,"Plan and coordinate the delivery of classroom techniques and formats (e.g., lectures, demonstrations, interactive exercises, multimedia presentations) for the most effective learning environment. 
T0520,"Plan non-classroom educational techniques and formats (e.g., video courses, mentoring, web-based courses). 
T0535,Recommend revisions to curriculum and course content based on feedback from previous training sessions.,
T0536,"Serve as an internal consultant and advisor in own area of expertise (e.g., technical, copyright, print media, electronic media). 
T0926,"Develop or assist with the development of privacy training materials and other communications to increase employee understanding of company privacy policies, data handling practices and procedures and legal obligations. 
