Protect and Defend (PR),"Cyber Defense Incident Responder (PR-CIR-001): Investigates, analyzes, and responds to cyber incidents within the network environment or enclave. Click to view the Master KSA List
Incident Response (CIR),,Click to return to the Table of Contents
,,OPM 531
KSA ID,KSA,
Knowledge,,
K0001,"Knowledge of computer networking concepts and protocols, and network security methodologies.  
K0002,"Knowledge of risk management processes (e.g., methods for assessing and mitigating risk). 
K0003,"Knowledge of laws, regulations, policies, and ethics as they relate to cybersecurity and privacy.  
K0004,Knowledge of cybersecurity and privacy principles.,
K0005,Knowledge of cyber threats and vulnerabilities. ,
K0006,Knowledge of specific operational impacts of cybersecurity lapses.,
K0021,Knowledge of data backup and recovery.,
K0026,Knowledge of business continuity and disaster recovery continuity of operations plans.,
K0033,"Knowledge of host/network access control mechanisms (e.g., access control list, capabilities lists). 
K0034,Knowledge of network services and protocols interactions that provide network communications.,
K0041,"Knowledge of incident categories, incident responses, and timelines for responses. 
K0042,Knowledge of incident response and handling methodologies.,
K0046,Knowledge of intrusion detection methodologies and techniques for detecting host and network-based intrusions.,
K0058,Knowledge of network traffic analysis methods.,
K0062,Knowledge of packet-level analysis.,
K0070,"Knowledge of system and application security threats and vulnerabilities (e.g., buffer overflow, mobile code, cross-site scripting, Procedural Language/Structured Query Language [PL/SQL] and injections, race conditions, covert channel, replay, return-oriented attacks, malicious code). 
K0106,Knowledge of what constitutes a network attack and a network attack’s relationship to both threats and vulnerabilities.,
K0157,"Knowledge of cyber defense and information security policies, procedures, and regulations. 
K0161,"Knowledge of different classes of attacks (e.g., passive, active, insider, close-in, distribution attacks). 
K0162,"Knowledge of cyber attackers (e.g., script kiddies, insider threat, non-nation state sponsored, and nation sponsored). 
K0167,"Knowledge of system administration, network, and operating system hardening techniques. 
K0177,"Knowledge of cyber attack stages (e.g., reconnaissance, scanning, enumeration, gaining access, escalation of privileges, maintaining access, network exploitation, covering tracks). 
K0179,"Knowledge of network security architecture concepts including topology, protocols, components, and principles (e.g., application of defense-in-depth). 
K0221,"Knowledge of OSI model and underlying network protocols (e.g., TCP/IP). 
K0230,Knowledge of cloud service models and how those models can limit incident response.,
K0259,Knowledge of malware analysis concepts and methodologies.,
K0287,Knowledge of an organization's information classification program and procedures for information compromise.,
K0332,"Knowledge of network protocols such as TCP/IP, Dynamic Host Configuration, Domain Name System (DNS), and directory services. 
K0565,"Knowledge of the common networking and routing protocols (e.g. TCP/IP), services (e.g., web, mail, DNS), and how they interact to provide network communications. 
K0624,Knowledge of Application Security Risks (e.g. Open Web Application Security Project Top 10 list),
,,
Skills,,
S0003,"Skill of identifying, capturing, containing, and reporting malware. 
S0047,Skill in preserving evidence integrity according to standard operating procedures or national standards.,
S0077,Skill in securing network communications.,
S0078,Skill in recognizing and categorizing types of vulnerabilities and associated attacks.,
S0079,"Skill in protecting a network against malware. (e.g., NIPS, anti-malware, restrict/prevent external devices, spam filters). 
S0080,Skill in performing damage assessments.,
S0173,Skill in using security event correlation tools.,
S0365,Skill to design incident response for cloud service models.,
,,
Abilities,,
A0121,Ability to design incident response for cloud service models.,
A0128,Ability to apply techniques for detecting host and network-based intrusions using intrusion detection technologies.,
