Securely Provision (SP),"Security Architect (SP-ARC-002): Ensures that the stakeholder security requirements necessary to protect the organization’s mission and business processes are adequately addressed in all aspects of enterprise architecture including reference models, segment and solution architectures, and the resulting systems supporting those missions and business processes. Click to view the Master KSA List
Systems Architecture (ARC),,Click to return to the Table of Contents
,,OPM 652
KSA ID,KSA,
Knowledge,,
K0001,"Knowledge of computer networking concepts and protocols, and network security methodologies.  
K0002,"Knowledge of risk management processes (e.g., methods for assessing and mitigating risk). 
K0003,"Knowledge of laws, regulations, policies, and ethics as they relate to cybersecurity and privacy.  
K0004,Knowledge of cybersecurity and privacy principles.,
K0005,Knowledge of cyber threats and vulnerabilities. ,
K0006,Knowledge of specific operational impacts of cybersecurity lapses.,
K0007,"Knowledge of authentication, authorization, and access control methods. 
K0008,Knowledge of applicable business processes and operations of customer organizations.,
K0009,Knowledge of application vulnerabilities.,
K0010,"Knowledge of communication methods, principles, and concepts that support the network infrastructure. 
K0011,"Knowledge of capabilities and applications of network equipment including routers, switches, bridges, servers, transmission media, and related hardware. 
K0012,Knowledge of capabilities and requirements analysis.,
K0013,Knowledge of cyber defense and vulnerability assessment tools and their capabilities.,
K0015,Knowledge of computer algorithms.,
K0018,Knowledge of encryption algorithms ,
K0019,Knowledge of cryptography and cryptographic key management concepts ,
K0024,Knowledge of database systems.,
K0026,Knowledge of business continuity and disaster recovery continuity of operations plans.,
K0027,Knowledge of organization's enterprise information security architecture.,
K0030,"Knowledge of electrical engineering as applied to computer architecture (e.g., circuit boards, processors, chips, and computer hardware). 
K0035,"Knowledge of installation, integration, and optimization of system components. 
K0036,Knowledge of human-computer interaction principles.,
K0037,Knowledge of Security Assessment and Authorization process.,
K0043,Knowledge of industry-standard and organizationally accepted analysis principles and methods.,
K0044,"Knowledge of cybersecurity and privacy principles and organizational requirements (relevant to confidentiality, integrity, availability, authentication, non-repudiation). 
K0052,"Knowledge of mathematics (e.g. logarithms, trigonometry, linear algebra, calculus, statistics, and operational analysis). 
K0055,Knowledge of microprocessors.,
K0056,"Knowledge of network access, identity, and access management (e.g., public key infrastructure, Oauth, OpenID, SAML, SPML). 
K0057,Knowledge of network hardware devices and functions.,
K0059,Knowledge of new and emerging information technology (IT) and cybersecurity technologies.,
K0060,Knowledge of operating systems.,
