id,title,work_role_id
K0001,"Knowledge of computer networking concepts and protocols, and network security methodologies.  OV-TEA-001
K0002,"Knowledge of risk management processes (e.g., methods for assessing and mitigating risk). OV-TEA-001
K0003,"Knowledge of laws, regulations, policies, and ethics as they relate to cybersecurity and privacy.  OV-TEA-001
K0004,Knowledge of cybersecurity and privacy principles.,OV-TEA-001
K0005,Knowledge of cyber threats and vulnerabilities. ,OV-TEA-001
K0006,Knowledge of specific operational impacts of cybersecurity lapses.,OV-TEA-001
K0059,Knowledge of new and emerging information technology (IT) and cybersecurity technologies.,OV-TEA-001
K0124,Knowledge of multiple cognitive domains and tools and methods applicable for learning in each domain.,OV-TEA-001
K0146,Knowledge of the organization's core business/mission processes.,OV-TEA-001
K0147,"Knowledge of emerging security issues, risks, and vulnerabilities. OV-TEA-001
K0204,"Knowledge of learning assessment techniques (rubrics, evaluation plans, tests, quizzes). OV-TEA-001
K0208,Knowledge of computer based training and e-learning services. ,OV-TEA-001
K0213,"Knowledge of instructional design and evaluation models (e.g., ADDIE, Smith/Ragan model, Gagne’s Events of Instruction, Kirkpatrick’s model of evaluation). OV-TEA-001
K0216,"Knowledge of learning levels (i.e., Bloom’s Taxonomy of learning). OV-TEA-001
K0217,Knowledge of Learning Management Systems and their use in managing learning.,OV-TEA-001
K0220,"Knowledge of modes of learning (e.g., rote learning, observation). OV-TEA-001
K0243,"Knowledge of organizational training and education policies, processes, and procedures. OV-TEA-001
K0239,"Knowledge of media production, communication, and dissemination techniques and methods, including alternative ways to inform via written, oral, and visual media. OV-TEA-001
K0245,Knowledge of principles and processes for conducting training and education needs assessment.,OV-TEA-001
K0246,"Knowledge of relevant concepts, procedures, software, equipment, and technology applications. OV-TEA-001
K0250,Knowledge of Test & Evaluation processes for learners.,OV-TEA-001
K0252,"Knowledge of training and education principles and methods for curriculum design, teaching and instruction for individuals and groups, and the measurement of training and education effects. OV-TEA-001
K0287,Knowledge of an organization's information classification program and procedures for information compromise.,OV-TEA-001
K0628,"Knowledge of cyber competitions as a way of developing skills by providing hands-on experience in simulated, real-world situations. OV-TEA-001
S0064,Skill in developing and executing technical training programs and curricula.,OV-TEA-001
S0066,Skill in identifying gaps in technical capabilities.,OV-TEA-001
S0070,Skill in talking to others to convey information effectively.,OV-TEA-001
S0102,Skill in applying technical delivery capabilities.,OV-TEA-001
S0166,Skill in identifying gaps in technical delivery capabilities.,OV-TEA-001
S0296,"Skill in utilizing feedback to improve processes, products, and services. OV-TEA-001
A0004,Ability to develop curriculum that speaks to the topic at the appropriate level for the target audience.,OV-TEA-001
