Master KSA List,Unnamed: 1,Click to return to the Table of Contents
,,
KSA ID,KSA Description,Withdrawn?
Knowledge,,
K0001,"Knowledge of computer networking concepts and protocols, and network security methodologies. ",
K0002,"Knowledge of risk management processes (e.g., methods for assessing and mitigating risk).",
K0003,"Knowledge of laws, regulations, policies, and ethics as they relate to cybersecurity and privacy. ",
K0004,Knowledge of cybersecurity and privacy principles.,
K0005,Knowledge of cyber threats and vulnerabilities. ,
K0006,Knowledge of specific operational impacts of cybersecurity lapses.,
K0007,"Knowledge of authentication, authorization, and access control methods.",
K0008,Knowledge of applicable business processes and operations of customer organizations.,
K0009,Knowledge of application vulnerabilities.,
K0010,"Knowledge of communication methods, principles, and concepts that support the network infrastructure.",
K0011,"Knowledge of capabilities and applications of network equipment including routers, switches, bridges, servers, transmission media, and related hardware.",
K0012,Knowledge of capabilities and requirements analysis.,
K0013,Knowledge of cyber defense and vulnerability assessment tools and their capabilities.,
K0014,Knowledge of complex data structures.,
K0015,Knowledge of computer algorithms.,
K0016,Knowledge of computer programming principles ,
K0017,Knowledge of concepts and practices of processing digital forensic data.,
K0018,Knowledge of encryption algorithms ,
K0019,Knowledge of cryptography and cryptographic key management concepts ,
K0020,Knowledge of data administration and data standardization policies.,
K0021,Knowledge of data backup and recovery.,
K0022,Knowledge of data mining and data warehousing principles.,
K0023,"Knowledge of database management systems, query languages, table relationships, and views.",
K0024,Knowledge of database systems.,
K0025,Knowledge of digital rights management.,
K0026,Knowledge of business continuity and disaster recovery continuity of operations plans.,
K0027,Knowledge of organization's enterprise information security architecture.,
K0028,Knowledge of organization's evaluation and validation requirements.,
K0029,Knowledge of organization's Local and Wide Area Network connections.,
K0030,"Knowledge of electrical engineering as applied to computer architecture (e.g., circuit boards, processors, chips, and computer hardware).",
K0031,Knowledge of enterprise messaging systems and associated software.,
K0032,Knowledge of resiliency and redundancy.,
K0033,"Knowledge of host/network access control mechanisms (e.g., access control list, capabilities lists).",
K0034,Knowledge of network services and protocols interactions that provide network communications.,
K0035,"Knowledge of installation, integration, and optimization of system components.",
K0036,Knowledge of human-computer interaction principles.,
K0037,Knowledge of Security Assessment and Authorization process.,
K0038,"Knowledge of cybersecurity and privacy principles used to manage risks related to the use, processing, storage, and transmission of information or data.",
K0039,Knowledge of cybersecurity and privacy principles and methods that apply to software development.,
K0040,"Knowledge of vulnerability information dissemination sources (e.g., alerts, advisories, errata, and bulletins).",
K0041,"Knowledge of incident categories, incident responses, and timelines for responses.",
K0042,Knowledge of incident response and handling methodologies.,
K0043,Knowledge of industry-standard and organizationally accepted analysis principles and methods.,
K0044,"Knowledge of cybersecurity and privacy principles and organizational requirements (relevant to confidentiality, integrity, availability, authentication, non-repudiation).",
K0045,Knowledge of information security systems engineering principles (NIST SP 800-160).,
K0046,Knowledge of intrusion detection methodologies and techniques for detecting host and network-based intrusions.,
K0047,Knowledge of information technology (IT) architectural concepts and frameworks.,
K0048,Knowledge of Risk Management Framework (RMF) requirements.,
K0049,"Knowledge of information technology (IT) security principles and methods (e.g., firewalls, demilitarized zones, encryption). ",
K0050,Knowledge of local area and wide area networking principles and concepts including bandwidth management.,
K0051,"Knowledge of low-level computer languages (e.g., assembly languages).",
K0052,"Knowledge of mathematics (e.g. logarithms, trigonometry, linear algebra, calculus, statistics, and operational analysis).",
K0053,Knowledge of measures or indicators of system performance and availability.,
