Master Task List,Unnamed: 1,Click to return to the Table of Contents,Unnamed: 3
,,,
Task ID,Task Description,Withdrawn?,
T0001,"Acquire and manage the necessary resources, including leadership support, financial resources, and key security personnel, to support information technology (IT) security goals and objectives and reduce overall organizational risk.",,
T0002,"Acquire necessary resources, including financial resources, to conduct an effective enterprise continuity of operations program.",,
T0003,"Advise senior management (e.g., Chief Information Officer [CIO]) on risk levels and security posture.",,
T0004,"Advise senior management (e.g., CIO) on cost/benefit analysis of information security programs, policies, processes, systems, and elements.",,
T0005,Advise appropriate senior leadership or Authorizing Official of changes affecting the organization's cybersecurity posture.,,
T0006,Advocate organization's official position in legal and legislative proceedings.,,
T0007,Analyze and define data requirements and specifications.,,
T0008,Analyze and plan for anticipated changes in data capacity requirements.,,
T0009,"Analyze information to determine, recommend, and plan the development of a new application or modification of an existing application.",,
T0010,Analyze organization's cyber defense policies and configurations and evaluate compliance with regulations and organizational directives.,,
T0011,Analyze user needs and software requirements to determine feasibility of design within time and cost constraints.,,
T0012,"Analyze design constraints, analyze trade-offs and detailed system and security design, and consider life cycle support.",,
T0013,"Apply coding and testing standards, apply security testing tools including ""'fuzzing"" static-analysis code scanning tools, and conduct code reviews.",,
T0014,Apply secure code documentation.,,
T0015,"Apply security policies to applications that interface with one another, such as Business-to-Business (B2B) applications.",,
T0016,Apply security policies to meet security objectives of the system.,,
T0017,"Apply service-oriented security architecture principles to meet organization's confidentiality, integrity, and availability requirements.",,
T0018,Assess the effectiveness of cybersecurity measures utilized by system(s).,,
T0019,Assess threats to and vulnerabilities of computer system(s) to develop a security risk profile.,,
T0020,Develop content for cyber defense tools.,,
T0021,"Build, test, and modify product prototypes using working models or theoretical models.",,
T0022,"Capture security controls used during the requirements phase to integrate security within the process, to identify key security objectives, and to maximize software security while minimizing disruption to plans and schedules.",,
T0023,Characterize and analyze network traffic to identify anomalous activity and potential threats to network resources.,,
T0024,Collect and maintain data needed to meet system cybersecurity reporting.,,
T0025,Communicate the value of information technology (IT) security throughout all levels of the organization stakeholders.,,
T0026,"Compile and write documentation of program development and subsequent revisions, inserting comments in the coded instructions so others can understand the program.",,
T0027,"Conduct analysis of log files, evidence, and other information to determine best methods for identifying the perpetrator(s) of a network intrusion.",,
T0028,Conduct and/or support authorized penetration testing on enterprise network assets.,,
T0029,Conduct functional and connectivity testing to ensure continuing operability.,,
