Major Group,Minor Group,Broad Occupation,Detailed Occupation,Detailed O*NET-SOC,SOC or O*NET-SOC 2019 Title
11-0000,,,,,Management Occupations
11-0000,11-1000,,,,Top Executives
11-0000,11-1000,11-1010,,,Chief Executives
11-0000,11-1000,11-1010,11-1011,,Chief Executives
11-0000,11-1000,11-1010,11-1011,11-1011.03,Chief Sustainability Officers
11-0000,11-1000,11-1020,11-1011,11-1011.03,General and Operations Managers
11-0000,11-1000,11-1020,11-1021,11-1011.03,General and Operations Managers
11-0000,11-1000,11-1030,11-1021,11-1011.03,Legislators
11-0000,11-1000,11-1030,11-1031,11-1011.03,Legislators
11-0000,11-2000,11-1030,11-1031,11-1011.03,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers"
11-0000,11-2000,11-2010,11-1031,11-1011.03,Advertising and Promotions Managers
11-0000,11-2000,11-2010,11-2011,11-1011.03,Advertising and Promotions Managers
11-0000,11-2000,11-2020,11-2011,11-1011.03,Marketing and Sales Managers
11-0000,11-2000,11-2020,11-2021,11-1011.03,Marketing Managers
11-0000,11-2000,11-2020,11-2022,11-1011.03,Sales Managers
11-0000,11-2000,11-2030,11-2022,11-1011.03,Public Relations and Fundraising Managers
11-0000,11-2000,11-2030,11-2032,11-1011.03,Public Relations Managers
11-0000,11-2000,11-2030,11-2033,11-1011.03,Fundraising Managers
11-0000,11-3000,11-2030,11-2033,11-1011.03,Operations Specialties Managers
11-0000,11-3000,11-3010,11-2033,11-1011.03,Administrative Services and Facilities Managers
11-0000,11-3000,11-3010,11-3012,11-1011.03,Administrative Services Managers
11-0000,11-3000,11-3010,11-3013,11-1011.03,Facilities Managers
11-0000,11-3000,11-3010,11-3013,11-3013.01,Security Managers
11-0000,11-3000,11-3020,11-3013,11-3013.01,Computer and Information Systems Managers
11-0000,11-3000,11-3020,11-3021,11-3013.01,Computer and Information Systems Managers
11-0000,11-3000,11-3030,11-3021,11-3013.01,Financial Managers
11-0000,11-3000,11-3030,11-3031,11-3013.01,Financial Managers
11-0000,11-3000,11-3030,11-3031,11-3031.01,Treasurers and Controllers
11-0000,11-3000,11-3030,11-3031,11-3031.03,Investment Fund Managers
11-0000,11-3000,11-3050,11-3031,11-3031.03,Industrial Production Managers
11-0000,11-3000,11-3050,11-3051,11-3031.03,Industrial Production Managers
11-0000,11-3000,11-3050,11-3051,11-3051.01,Quality Control Systems Managers
11-0000,11-3000,11-3050,11-3051,11-3051.02,Geothermal Production Managers
11-0000,11-3000,11-3050,11-3051,11-3051.03,Biofuels Production Managers
11-0000,11-3000,11-3050,11-3051,11-3051.04,Biomass Power Plant Managers
11-0000,11-3000,11-3050,11-3051,11-3051.06,Hydroelectric Production Managers
11-0000,11-3000,11-3060,11-3051,11-3051.06,Purchasing Managers
11-0000,11-3000,11-3060,11-3061,11-3051.06,Purchasing Managers
11-0000,11-3000,11-3070,11-3061,11-3051.06,"Transportation, Storage, and Distribution Managers"
11-0000,11-3000,11-3070,11-3071,11-3051.06,"Transportation, Storage, and Distribution Managers"
11-0000,11-3000,11-3070,11-3071,11-3071.04,Supply Chain Managers
11-0000,11-3000,11-3110,11-3071,11-3071.04,Compensation and Benefits Managers
11-0000,11-3000,11-3110,11-3111,11-3071.04,Compensation and Benefits Managers
11-0000,11-3000,11-3120,11-3111,11-3071.04,Human Resources Managers
11-0000,11-3000,11-3120,11-3121,11-3071.04,Human Resources Managers
11-0000,11-3000,11-3130,11-3121,11-3071.04,Training and Development Managers
11-0000,11-3000,11-3130,11-3131,11-3071.04,Training and Development Managers
11-0000,11-9000,11-3130,11-3131,11-3071.04,Other Management Occupations
11-0000,11-9000,11-9010,11-3131,11-3071.04,"Farmers, Ranchers, and Other Agricultural Managers"
11-0000,11-9000,11-9010,11-9013,11-3071.04,"Farmers, Ranchers, and Other Agricultural Managers"
11-0000,11-9000,11-9020,11-9013,11-3071.04,Construction Managers
11-0000,11-9000,11-9020,11-9021,11-3071.04,Construction Managers
11-0000,11-9000,11-9030,11-9021,11-3071.04,Education and Childcare Administrators
11-0000,11-9000,11-9030,11-9031,11-3071.04,"Education and Childcare Administrators, Preschool and Daycare"
11-0000,11-9000,11-9030,11-9032,11-3071.04,"Education Administrators, Kindergarten through Secondary"
11-0000,11-9000,11-9030,11-9033,11-3071.04,"Education Administrators, Postsecondary"
11-0000,11-9000,11-9030,11-9039,11-3071.04,"Education Administrators, All Other"
11-0000,11-9000,11-9040,11-9039,11-3071.04,Architectural and Engineering Managers
11-0000,11-9000,11-9040,11-9041,11-3071.04,Architectural and Engineering Managers
11-0000,11-9000,11-9040,11-9041,11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers
11-0000,11-9000,11-9050,11-9041,11-9041.01,Food Service Managers
11-0000,11-9000,11-9050,11-9051,11-9041.01,Food Service Managers
11-0000,11-9000,11-9070,11-9051,11-9041.01,Entertainment and Recreation Managers
11-0000,11-9000,11-9070,11-9071,11-9041.01,Gambling Managers
11-0000,11-9000,11-9070,11-9072,11-9041.01,"Entertainment and Recreation Managers, Except Gambling"
11-0000,11-9000,11-9080,11-9072,11-9041.01,Lodging Managers
11-0000,11-9000,11-9080,11-9081,11-9041.01,Lodging Managers
11-0000,11-9000,11-9110,11-9081,11-9041.01,Medical and Health Services Managers
11-0000,11-9000,11-9110,11-9111,11-9041.01,Medical and Health Services Managers
11-0000,11-9000,11-9120,11-9111,11-9041.01,Natural Sciences Managers
11-0000,11-9000,11-9120,11-9121,11-9041.01,Natural Sciences Managers
11-0000,11-9000,11-9120,11-9121,11-9121.01,Clinical Research Coordinators
11-0000,11-9000,11-9120,11-9121,11-9121.02,Water Resource Specialists
11-0000,11-9000,11-9130,11-9121,11-9121.02,Postmasters and Mail Superintendents
11-0000,11-9000,11-9130,11-9131,11-9121.02,Postmasters and Mail Superintendents
11-0000,11-9000,11-9140,11-9131,11-9121.02,"Property, Real Estate, and Community Association Managers"
11-0000,11-9000,11-9140,11-9141,11-9121.02,"Property, Real Estate, and Community Association Managers"
11-0000,11-9000,11-9150,11-9141,11-9121.02,Social and Community Service Managers
11-0000,11-9000,11-9150,11-9151,11-9121.02,Social and Community Service Managers
11-0000,11-9000,11-9160,11-9151,11-9121.02,Emergency Management Directors
11-0000,11-9000,11-9160,11-9161,11-9121.02,Emergency Management Directors
11-0000,11-9000,11-9170,11-9161,11-9121.02,Personal Service Managers
11-0000,11-9000,11-9170,11-9171,11-9121.02,Funeral Home Managers
11-0000,11-9000,11-9170,11-9179,11-9121.02,"Personal Service Managers, All Other"
11-0000,11-9000,11-9170,11-9179,11-9179.01,Fitness and Wellness Coordinators
11-0000,11-9000,11-9170,11-9179,11-9179.02,Spa Managers
11-0000,11-9000,11-9190,11-9179,11-9179.02,Miscellaneous Managers
11-0000,11-9000,11-9190,11-9199,11-9179.02,"Managers, All Other"
11-0000,11-9000,11-9190,11-9199,11-9199.01,Regulatory Affairs Managers
11-0000,11-9000,11-9190,11-9199,11-9199.02,Compliance Managers
11-0000,11-9000,11-9190,11-9199,11-9199.08,Loss Prevention Managers
11-0000,11-9000,11-9190,11-9199,11-9199.09,Wind Energy Operations Managers
11-0000,11-9000,11-9190,11-9199,11-9199.10,Wind Energy Development Managers
11-0000,11-9000,11-9190,11-9199,11-9199.11,Brownfield Redevelopment Specialists and Site Managers
13-0000,11-9000,11-9190,11-9199,11-9199.11,Business and Financial Operations Occupations
13-0000,13-1000,11-9190,11-9199,11-9199.11,Business Operations Specialists
13-0000,13-1000,13-1010,11-9199,11-9199.11,"Agents and Business Managers of Artists, Performers, and Athletes"
13-0000,13-1000,13-1010,13-1011,11-9199.11,"Agents and Business Managers of Artists, Performers, and Athletes"
13-0000,13-1000,13-1020,13-1011,11-9199.11,Buyers and Purchasing Agents
13-0000,13-1000,13-1020,13-1021,11-9199.11,"Buyers and Purchasing Agents, Farm Products"
13-0000,13-1000,13-1020,13-1022,11-9199.11,"Wholesale and Retail Buyers, Except Farm Products"
13-0000,13-1000,13-1020,13-1023,11-9199.11,"Purchasing Agents, Except Wholesale, Retail, and Farm Products"
13-0000,13-1000,13-1030,13-1023,11-9199.11,"Claims Adjusters, Appraisers, Examiners, and Investigators"
13-0000,13-1000,13-1030,13-1031,11-9199.11,"Claims Adjusters, Examiners, and Investigators"
13-0000,13-1000,13-1030,13-1032,11-9199.11,"Insurance Appraisers, Auto Damage"
13-0000,13-1000,13-1040,13-1032,11-9199.11,Compliance Officers
13-0000,13-1000,13-1040,13-1041,11-9199.11,Compliance Officers
13-0000,13-1000,13-1040,13-1041,13-1041.01,Environmental Compliance Inspectors
13-0000,13-1000,13-1040,13-1041,13-1041.03,Equal Opportunity Representatives and Officers
13-0000,13-1000,13-1040,13-1041,13-1041.04,Government Property Inspectors and Investigators
13-0000,13-1000,13-1040,13-1041,13-1041.06,Coroners
13-0000,13-1000,13-1040,13-1041,13-1041.07,Regulatory Affairs Specialists
13-0000,13-1000,13-1040,13-1041,13-1041.08,Customs Brokers
13-0000,13-1000,13-1050,13-1041,13-1041.08,Cost Estimators
13-0000,13-1000,13-1050,13-1051,13-1041.08,Cost Estimators
13-0000,13-1000,13-1070,13-1051,13-1041.08,Human Resources Workers
13-0000,13-1000,13-1070,13-1071,13-1041.08,Human Resources Specialists
13-0000,13-1000,13-1070,13-1074,13-1041.08,Farm Labor Contractors
13-0000,13-1000,13-1070,13-1075,13-1041.08,Labor Relations Specialists
13-0000,13-1000,13-1080,13-1075,13-1041.08,Logisticians and Project Management Specialists
13-0000,13-1000,13-1080,13-1081,13-1041.08,Logisticians
13-0000,13-1000,13-1080,13-1081,13-1081.01,Logistics Engineers
13-0000,13-1000,13-1080,13-1081,13-1081.02,Logistics Analysts
13-0000,13-1000,13-1080,13-1082,13-1081.02,Project Management Specialists
13-0000,13-1000,13-1110,13-1082,13-1081.02,Management Analysts
13-0000,13-1000,13-1110,13-1111,13-1081.02,Management Analysts
13-0000,13-1000,13-1120,13-1111,13-1081.02,"Meeting, Convention, and Event Planners"
13-0000,13-1000,13-1120,13-1121,13-1081.02,"Meeting, Convention, and Event Planners"
13-0000,13-1000,13-1130,13-1121,13-1081.02,Fundraisers
13-0000,13-1000,13-1130,13-1131,13-1081.02,Fundraisers
13-0000,13-1000,13-1140,13-1131,13-1081.02,"Compensation, Benefits, and Job Analysis Specialists"
13-0000,13-1000,13-1140,13-1141,13-1081.02,"Compensation, Benefits, and Job Analysis Specialists"
13-0000,13-1000,13-1150,13-1141,13-1081.02,Training and Development Specialists
13-0000,13-1000,13-1150,13-1151,13-1081.02,Training and Development Specialists
13-0000,13-1000,13-1160,13-1151,13-1081.02,Market Research Analysts and Marketing Specialists
13-0000,13-1000,13-1160,13-1161,13-1081.02,Market Research Analysts and Marketing Specialists
13-0000,13-1000,13-1160,13-1161,13-1161.01,Search Marketing Strategists
13-0000,13-1000,13-1190,13-1161,13-1161.01,Miscellaneous Business Operations Specialists
13-0000,13-1000,13-1190,13-1199,13-1161.01,"Business Operations Specialists, All Other"
13-0000,13-1000,13-1190,13-1199,13-1199.04,Business Continuity Planners
13-0000,13-1000,13-1190,13-1199,13-1199.05,Sustainability Specialists
13-0000,13-1000,13-1190,13-1199,13-1199.06,Online Merchants
13-0000,13-1000,13-1190,13-1199,13-1199.07,Security Management Specialists
13-0000,13-2000,13-1190,13-1199,13-1199.07,Financial Specialists
