onet_soc_2019_code,onet_soc_2019_description,onet_soc_2019_title
11-1011.03,"Communicate and coordinate with management, shareholders, customers, and employees to address sustainability issues. Enact or oversee a corporate sustainability strategy.",Chief Sustainability Officers
11-3013.01,"Direct an organization's security functions, including physical security and safety of employees and facilities.",Security Managers
11-3031.01,"Direct financial activities, such as planning, procurement, and investments for all or part of an organization.",Treasurers and Controllers
11-3031.03,"Plan, direct, or coordinate investment strategy or operations for a large pool of liquid assets supplied by institutional investors or individual investors.",Investment Fund Managers
11-3051.01,"Plan, direct, or coordinate quality assurance programs. Formulate quality control policies and control quality of laboratory and production efforts.",Quality Control Systems Managers
11-3051.02,Manage operations at geothermal power generation facilities. Maintain and monitor geothermal plant equipment for efficient and safe plant operations.,Geothermal Production Managers
11-3051.03,"Manage biofuels production and plant operations. Collect and process information on plant production and performance, diagnose problems, and design corrective procedures.",Biofuels Production Managers
11-3051.04,"Manage operations at biomass power generation facilities. Direct work activities at plant, including supervision of operations and maintenance staff.",Biomass Power Plant Managers
11-3051.06,Manage operations at hydroelectric power generation facilities. Maintain and monitor hydroelectric plant equipment for efficient and safe plant operations.,Hydroelectric Production Managers
11-3071.04,"Direct or coordinate production, purchasing, warehousing, distribution, or financial forecasting services or activities to limit costs and improve accuracy, customer service, or safety. Examine existing procedures or opportunities for streamlining activities to meet product distribution needs. Direct the movement, storage, or processing of inventory.",Supply Chain Managers
11-9041.01,"Define, plan, or execute biofuels/biodiesel research programs that evaluate alternative feedstock and process technologies with near-term commercial potential.",Biofuels/Biodiesel Technology and Product Development Managers
11-9121.01,"Plan, direct, or coordinate clinical research projects. Direct the activities of workers engaged in clinical research projects to ensure compliance with protocols and overall clinical objectives. May evaluate and analyze clinical data.",Clinical Research Coordinators
11-9121.02,"Design or implement programs and strategies related to water resource issues such as supply, quality, and regulatory compliance issues.",Water Resource Specialists
11-9179.01,"Manage or coordinate fitness and wellness programs and services. Manage and train staff of wellness specialists, health educators, or fitness instructors.",Fitness and Wellness Coordinators
11-9179.02,"Plan, direct, or coordinate activities of a spa facility. Coordinate programs, schedule and direct staff, and oversee financial activities.",Spa Managers
11-9199.01,"Plan, direct, or coordinate production activities of an organization to ensure compliance with regulations and standard operating procedures.",Regulatory Affairs Managers
11-9199.02,"Plan, direct, or coordinate activities of an organization to ensure compliance with ethical or regulatory standards.",Compliance Managers
11-9199.08,"Plan and direct policies, procedures, or systems to prevent the loss of assets. Determine risk exposure or potential liability, and develop risk control measures.",Loss Prevention Managers
11-9199.09,"Manage wind field operations, including personnel, maintenance activities, financial activities, and planning.",Wind Energy Operations Managers
11-9199.10,"Lead or manage the development and evaluation of potential wind energy business opportunities, including environmental studies, permitting, and proposals. May also manage construction of projects.",Wind Energy Development Managers
11-9199.11,Plan and direct cleanup and redevelopment of contaminated properties for reuse. Does not include properties sufficiently contaminated to qualify as Superfund sites.,Brownfield Redevelopment Specialists and Site Managers
13-1041.01,"Inspect and investigate sources of pollution to protect the public and environment and ensure conformance with Federal, State, and local regulations and ordinances.",Environmental Compliance Inspectors
13-1041.03,"Monitor and evaluate compliance with equal opportunity laws, guidelines, and policies to ensure that employment practices and contracting arrangements give equal opportunity without regard to race, religion, color, national origin, sex, age, or disability.",Equal Opportunity Representatives and Officers
13-1041.04,Investigate or inspect government property to ensure compliance with contract agreements and government regulations.,Government Property Inspectors and Investigators
13-1041.06,"Direct activities such as autopsies, pathological and toxicological analyses, and inquests relating to the investigation of deaths occurring within a legal jurisdiction to determine cause of death or to fix responsibility for accidental, violent, or unexplained deaths.",Coroners
13-1041.07,"Coordinate and document internal regulatory processes, such as internal audits, inspections, license renewals, or registrations. May compile and prepare materials for submission to regulatory agencies.",Regulatory Affairs Specialists
13-1041.08,Prepare customs documentation and ensure that shipments meet all applicable laws to facilitate the import and export of goods. Determine and track duties and taxes payable and process payments on behalf of client. Sign documents under a power of attorney. Represent clients in meetings with customs officials and apply for duty refunds and tariff reclassifications. Coordinate transportation and storage of imported goods.,Customs Brokers
13-1081.01,"Design or analyze operational solutions for projects such as transportation optimization, network modeling, process and methods analysis, cost containment, capacity enhancement, routing and shipment optimization, or information management.",Logistics Engineers
13-1081.02,"Analyze product delivery or supply chain processes to identify or recommend changes. May manage route activity including invoicing, electronic bills, and shipment tracing.",Logistics Analysts
13-1161.01,"Employ search marketing tactics to increase visibility and engagement with content, products, or services in Internet-enabled devices or interfaces. Examine search query behaviors on general or specialty search engines or other Internet-based content. Analyze research, data, or technology to understand user intent and measure outcomes for ongoing optimization.",Search Marketing Strategists
13-1199.04,"Develop, maintain, or implement business continuity and disaster recovery strategies and solutions, including risk assessments, business impact analyses, strategy selection, and documentation of business continuity and disaster recovery procedures. Plan, conduct, and debrief regular mock-disaster exercises to test the adequacy of existing plans and strategies, updating procedures and plans regularly. Act as a coordinator for continuity efforts after a disruption event.",Business Continuity Planners
13-1199.05,"Address organizational sustainability issues, such as waste stream management, green building practices, and green procurement plans.",Sustainability Specialists
13-1199.06,"Conduct retail activities of businesses operating exclusively online. May perform duties such as preparing business strategies, buying merchandise, managing inventory, implementing marketing activities, fulfilling and shipping online orders, and balancing financial records.",Online Merchants
13-1199.07,"Conduct security assessments for organizations, and design security systems and processes. May specialize in areas such as physical security or the safety of employees and facilities.",Security Management Specialists
13-2099.01,"Develop quantitative techniques to inform securities investing, equities investing, pricing, or valuation of financial instruments. Develop mathematical or statistical models for risk management, asset optimization, pricing, or relative value analysis.",Financial Quantitative Analysts
13-2099.04,"Obtain evidence, take statements, produce reports, and testify to findings regarding resolution of fraud allegations. May coordinate fraud detection and prevention activities.","Fraud Examiners, Investigators and Analysts"
15-1211.01,"Apply knowledge of nursing and informatics to assist in the design, development, and ongoing modification of computerized health care systems. May educate staff and assist in problem solving to promote the implementation of the health care system.",Health Informatics Specialists
15-1241.01,"Design or configure wired, wireless, and satellite communications systems for voice, video, and data services. Supervise installation, service, and maintenance.",Telecommunications Engineering Specialists
15-1243.01,"Design, model, or implement corporate data warehousing activities. Program and configure warehouses of database information and provide support to warehouse users.",Data Warehousing Specialists
15-1255.01,"Design core features of video games. Specify innovative game and role-play mechanics, story lines, and character biographies. Create and maintain design documentation. Guide and collaborate with production staff to produce games as designed.",Video Game Designers
15-1299.01,"Manage web environment design, deployment, development and maintenance activities. Perform testing and quality assurance of web sites and web applications.",Web Administrators
15-1299.02,"Assist scientists or related professionals in building, maintaining, modifying, or using geographic information systems (GIS) databases. May also perform some custom application development or provide user support.",Geographic Information Systems Technologists and Technicians
15-1299.03,"Implement and administer enterprise-wide document management systems and related procedures that allow organizations to capture, store, retrieve, share, and destroy electronic records and documents.",Document Management Specialists
15-1299.04,Evaluate network system security by conducting simulated internal and external cyberattacks using adversary tools and techniques. Attempt to breach and exploit critical systems and gain access to sensitive information to assess system security.,Penetration Testers
15-1299.05,"Develop and oversee the implementation of information security procedures and policies. Build, maintain and upgrade security technology, such as firewalls, for the safe use of computer networks and the transmission and retrieval of information. Design and implement appropriate security controls to identify vulnerabilities and protect digital files and electronic infrastructures. Monitor and respond to computer security breaches, viruses, and intrusions, and perform forensic investigation. May oversee the assessment of information security systems.",Information Security Engineers
15-1299.06,"Conduct investigations on computer-based crimes establishing documentary or physical evidence, such as digital media and logs associated with cyber intrusion incidents. Analyze digital evidence and investigate computer security incidents to derive information in support of system and network vulnerability mitigation. Preserve and present computer-related evidence in support of criminal, fraud, counterintelligence, or law enforcement investigations.",Digital Forensics Analysts
15-1299.07,"Maintain and support distributed and decentralized blockchain-based networks or block-chain applications such as cryptocurrency exchange, payment processing, document sharing, and digital voting. Design and deploy secure block-chain design patterns and solutions over geographically distributed networks using advanced technologies. May assist with infrastructure setup and testing for application transparency and security.",Blockchain Engineers
15-1299.08,"Design and develop solutions to complex applications problems, system administration issues, or network concerns. Perform systems management and integration functions.",Computer Systems Engineers/Architects
15-1299.09,"Plan, initiate, and manage information technology (IT) projects. Lead and guide the work of technical staff. Serve as liaison between business and technical aspects of projects. Plan project stages and assess business implications for each stage. Monitor progress to assure deadlines, standards, and cost targets are met.",Information Technology Project Managers
15-2041.01,Develop and apply biostatistical theory and methods to the study of life sciences.,Biostatisticians
15-2051.01,Produce financial and market intelligence by querying data repositories and generating periodic reports. Devise methods for identifying data patterns and trends in available information sources.,Business Intelligence Analysts
15-2051.02,"Apply knowledge of health care and database management to analyze clinical data, and to identify and report trends.",Clinical Data Managers
15-2099.01,"Apply principles and methods of bioinformatics to assist scientists in areas such as pharmaceuticals, medical technology, biotechnology, computational biology, proteomics, computer information science, biology and medical informatics. Apply bioinformatics tools to visualize, analyze, manipulate or interpret molecular data. May build and maintain databases for processing and analyzing genomic or other biological information.",Bioinformatics Technicians
17-1022.01,"Measure large areas of the Earth's surface using satellite observations, global navigation satellite systems (GNSS), light detection and ranging (LIDAR), or related sources.",Geodetic Surveyors
17-2051.01,"Develop plans for surface transportation projects, according to established engineering standards and state or federal construction policy. Prepare designs, specifications, or estimates for transportation facilities. Plan modifications of existing streets, highways, or freeways to improve traffic flow.",Transportation Engineers
17-2051.02,"Design or oversee projects involving provision of potable water, disposal of wastewater and sewage, or prevention of flood-related damage. Prepare environmental documentation for water resources, regulatory program compliance, data management and analysis, and field work. Perform hydraulic modeling and pipeline design.",Water/Wastewater Engineers
17-2072.01,Design and implement radio frequency identification device (RFID) systems used to track shipments or goods.,Radio Frequency Identification Device Specialists
17-2111.02,"Research causes of fires, determine fire protection methods, and design or recommend materials or equipment such as structural components or fire-detection equipment to assist organizations in safeguarding life and property against fire, explosion, and related hazards.",Fire-Prevention and Protection Engineers
17-2112.01,"Design objects, facilities, and environments to optimize human well-being and overall system performance, applying theory, principles, and data regarding the relationship between humans and respective technology. Investigate and analyze characteristics of human behavior and performance as it relates to the use of technology.",Human Factors Engineers and Ergonomists
17-2112.02,"Design or plan protocols for equipment or processes to produce products meeting internal and external purity, safety, and quality requirements.",Validation Engineers
17-2112.03,"Design, integrate, or improve manufacturing systems or related processes. May work with commercial or industrial designers to refine product designs to increase producibility and decrease costs.",Manufacturing Engineers
17-2141.01,"Design, evaluate, modify, or construct fuel cell components or systems for transportation, stationary, or portable applications.",Fuel Cell Engineers
17-2141.02,"Develop new or improved designs for vehicle structural members, engines, transmissions, or other vehicle systems, using computer-assisted design technology. Direct building, modification, or testing of vehicle or components.",Automotive Engineers
17-2199.03,"Design, develop, or evaluate energy-related projects or programs to reduce energy costs or improve energy efficiency during the designing, building, or remodeling stages of construction. May specialize in electrical systems; heating, ventilation, and air-conditioning (HVAC) systems; green buildings; lighting; air quality; or energy procurement.","Energy Engineers, Except Wind and Solar"
17-2199.05,"Research, design, develop, or test automation, intelligent systems, smart devices, or industrial systems control.",Mechatronics Engineers
17-2199.06,"Research, design, develop, or test microelectromechanical systems (MEMS) devices.",Microsystems Engineers
17-2199.07,"Design technologies specializing in light information or light energy, such as laser or fiber optics technology.",Photonics Engineers
17-2199.08,"Research, design, develop, or test robotic applications.",Robotics Engineers
17-2199.09,"Design, develop, or supervise the production of materials, devices, or systems of unique molecular or macromolecular composition, applying principles of nanoscale physics and electrical, chemical, or biological engineering.",Nanosystems Engineers
17-2199.10,Design underground or overhead wind farm collector systems and prepare and develop site specifications.,Wind Energy Engineers
17-2199.11,"Perform site-specific engineering analysis or evaluation of energy efficiency and solar projects involving residential, commercial, or industrial customers. Design solar domestic hot water and space heating systems for new and existing structures, applying knowledge of structural energy requirements, local climates, solar technology, and thermodynamics.",Solar Energy Systems Engineers
17-3024.01,"Build, install, test, or maintain robotic equipment or related automated production systems.",Robotics Technicians
17-3026.01,"Implement production processes and operate commercial-scale production equipment to produce, test, or modify materials, devices, or systems of unique molecular or macromolecular composition. Operate advanced microscopy equipment to manipulate nanoscale objects. Work under the supervision of nanoengineering staff.",Nanotechnology Engineering Technologists and Technicians
