data_value,date,domain_source,element_id,element_name,onet_soc_code,scale_id,scale_name,title
1.33,06/2008,Analyst,1.B.1.a,Realistic,11-1011.00,OI,Occupational Interests,Chief Executives
2.0,06/2008,Analyst,1.B.1.b,Investigative,11-1011.00,OI,Occupational Interests,Chief Executives
2.67,06/2008,Analyst,1.B.1.c,Artistic,11-1011.00,OI,Occupational Interests,Chief Executives
3.67,06/2008,Analyst,1.B.1.d,Social,11-1011.00,OI,Occupational Interests,Chief Executives
7.0,06/2008,Analyst,1.B.1.e,Enterprising,11-1011.00,OI,Occupational Interests,Chief Executives
5.33,06/2008,Analyst,1.B.1.f,Conventional,11-1011.00,OI,Occupational Interests,Chief Executives
5.0,06/2008,Analyst,1.B.1.g,First Interest High-Point,11-1011.00,IH,Occupational Interest High-Point,Chief Executives
6.0,06/2008,Analyst,1.B.1.h,Second Interest High-Point,11-1011.00,IH,Occupational Interest High-Point,Chief Executives
0.0,06/2008,Analyst,1.B.1.i,Third Interest High-Point,11-1011.00,IH,Occupational Interest High-Point,Chief Executives
1.0,07/2013,Analyst,1.B.1.a,Realistic,11-1011.03,OI,Occupational Interests,Chief Sustainability Officers
4.33,07/2013,Analyst,1.B.1.b,Investigative,11-1011.03,OI,Occupational Interests,Chief Sustainability Officers
2.67,07/2013,Analyst,1.B.1.c,Artistic,11-1011.03,OI,Occupational Interests,Chief Sustainability Officers
2.33,07/2013,Analyst,1.B.1.d,Social,11-1011.03,OI,Occupational Interests,Chief Sustainability Officers
7.0,07/2013,Analyst,1.B.1.e,Enterprising,11-1011.03,OI,Occupational Interests,Chief Sustainability Officers
4.33,07/2013,Analyst,1.B.1.f,Conventional,11-1011.03,OI,Occupational Interests,Chief Sustainability Officers
5.0,07/2013,Analyst,1.B.1.g,First Interest High-Point,11-1011.03,IH,Occupational Interest High-Point,Chief Sustainability Officers
6.0,07/2013,Analyst,1.B.1.h,Second Interest High-Point,11-1011.03,IH,Occupational Interest High-Point,Chief Sustainability Officers
2.0,07/2013,Analyst,1.B.1.i,Third Interest High-Point,11-1011.03,IH,Occupational Interest High-Point,Chief Sustainability Officers
1.33,06/2008,Analyst,1.B.1.a,Realistic,11-1021.00,OI,Occupational Interests,General and Operations Managers
1.33,06/2008,Analyst,1.B.1.b,Investigative,11-1021.00,OI,Occupational Interests,General and Operations Managers
1.0,06/2008,Analyst,1.B.1.c,Artistic,11-1021.00,OI,Occupational Interests,General and Operations Managers
3.33,06/2008,Analyst,1.B.1.d,Social,11-1021.00,OI,Occupational Interests,General and Operations Managers
7.0,06/2008,Analyst,1.B.1.e,Enterprising,11-1021.00,OI,Occupational Interests,General and Operations Managers
3.67,06/2008,Analyst,1.B.1.f,Conventional,11-1021.00,OI,Occupational Interests,General and Operations Managers
