broad_occupation,detailed_occupation,detailed_onet_soc,major_group,minor_group,soc_or_onet_soc_2019_title
,,,11-0000,,Management Occupations
,,,11-0000,11-1000,Top Executives
11-1010,,,11-0000,11-1000,Chief Executives
11-1010,11-1011,,11-0000,11-1000,Chief Executives
11-1010,11-1011,11-1011.03,11-0000,11-1000,Chief Sustainability Officers
11-1020,11-1011,11-1011.03,11-0000,11-1000,General and Operations Managers
11-1020,11-1021,11-1011.03,11-0000,11-1000,General and Operations Managers
11-1030,11-1021,11-1011.03,11-0000,11-1000,Legislators
11-1030,11-1031,11-1011.03,11-0000,11-1000,Legislators
11-1030,11-1031,11-1011.03,11-0000,Nov-00,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers"
Nov-10,11-1031,11-1011.03,11-0000,Nov-00,Advertising and Promotions Managers
Nov-10,Nov-11,11-1011.03,11-0000,Nov-00,Advertising and Promotions Managers
Nov-20,Nov-11,11-1011.03,11-0000,Nov-00,Marketing and Sales Managers
Nov-20,Nov-21,11-1011.03,11-0000,Nov-00,Marketing Managers
Nov-20,Nov-22,11-1011.03,11-0000,Nov-00,Sales Managers
Nov-30,Nov-22,11-1011.03,11-0000,Nov-00,Public Relations and Fundraising Managers
Nov-30,Nov-32,11-1011.03,11-0000,Nov-00,Public Relations Managers
Nov-30,Nov-33,11-1011.03,11-0000,Nov-00,Fundraising Managers
Nov-30,Nov-33,11-1011.03,11-0000,Nov-00,Operations Specialties Managers
Nov-10,Nov-33,11-1011.03,11-0000,Nov-00,Administrative Services and Facilities Managers
Nov-10,Nov-12,11-1011.03,11-0000,Nov-00,Administrative Services Managers
Nov-10,Nov-13,11-1011.03,11-0000,Nov-00,Facilities Managers
Nov-10,Nov-13,11-3013.01,11-0000,Nov-00,Security Managers
Nov-20,Nov-13,11-3013.01,11-0000,Nov-00,Computer and Information Systems Managers
Nov-20,Nov-21,11-3013.01,11-0000,Nov-00,Computer and Information Systems Managers
Nov-30,Nov-21,11-3013.01,11-0000,Nov-00,Financial Managers
Nov-30,Nov-31,11-3013.01,11-0000,Nov-00,Financial Managers
Nov-30,Nov-31,11-3031.01,11-0000,Nov-00,Treasurers and Controllers
Nov-30,Nov-31,11-3031.03,11-0000,Nov-00,Investment Fund Managers
Nov-50,Nov-31,11-3031.03,11-0000,Nov-00,Industrial Production Managers
Nov-50,Nov-51,11-3031.03,11-0000,Nov-00,Industrial Production Managers
Nov-50,Nov-51,11-3051.01,11-0000,Nov-00,Quality Control Systems Managers
Nov-50,Nov-51,11-3051.02,11-0000,Nov-00,Geothermal Production Managers
Nov-50,Nov-51,11-3051.03,11-0000,Nov-00,Biofuels Production Managers
Nov-50,Nov-51,11-3051.04,11-0000,Nov-00,Biomass Power Plant Managers
Nov-50,Nov-51,11-3051.06,11-0000,Nov-00,Hydroelectric Production Managers
Nov-60,Nov-51,11-3051.06,11-0000,Nov-00,Purchasing Managers
Nov-60,Nov-61,11-3051.06,11-0000,Nov-00,Purchasing Managers
Nov-70,Nov-61,11-3051.06,11-0000,Nov-00,"Transportation, Storage, and Distribution Managers"
Nov-70,Nov-71,11-3051.06,11-0000,Nov-00,"Transportation, Storage, and Distribution Managers"
Nov-70,Nov-71,11-3071.04,11-0000,Nov-00,Supply Chain Managers
Nov-10,Nov-71,11-3071.04,11-0000,Nov-00,Compensation and Benefits Managers
Nov-10,Nov-11,11-3071.04,11-0000,Nov-00,Compensation and Benefits Managers
Nov-20,Nov-11,11-3071.04,11-0000,Nov-00,Human Resources Managers
Nov-20,Nov-21,11-3071.04,11-0000,Nov-00,Human Resources Managers
Nov-30,Nov-21,11-3071.04,11-0000,Nov-00,Training and Development Managers
Nov-30,Nov-31,11-3071.04,11-0000,Nov-00,Training and Development Managers
Nov-30,Nov-31,11-3071.04,11-0000,Nov-00,Other Management Occupations
Nov-10,Nov-31,11-3071.04,11-0000,Nov-00,"Farmers, Ranchers, and Other Agricultural Managers"
Nov-10,Nov-13,11-3071.04,11-0000,Nov-00,"Farmers, Ranchers, and Other Agricultural Managers"
Nov-20,Nov-13,11-3071.04,11-0000,Nov-00,Construction Managers
Nov-20,Nov-21,11-3071.04,11-0000,Nov-00,Construction Managers
Nov-30,Nov-21,11-3071.04,11-0000,Nov-00,Education and Childcare Administrators
Nov-30,Nov-31,11-3071.04,11-0000,Nov-00,"Education and Childcare Administrators, Preschool and Daycare"
Nov-30,Nov-32,11-3071.04,11-0000,Nov-00,"Education Administrators, Kindergarten through Secondary"
Nov-30,Nov-33,11-3071.04,11-0000,Nov-00,"Education Administrators, Postsecondary"
Nov-30,Nov-39,11-3071.04,11-0000,Nov-00,"Education Administrators, All Other"
Nov-40,Nov-39,11-3071.04,11-0000,Nov-00,Architectural and Engineering Managers
Nov-40,Nov-41,11-3071.04,11-0000,Nov-00,Architectural and Engineering Managers
Nov-40,Nov-41,11-9041.01,11-0000,Nov-00,Biofuels/Biodiesel Technology and Product Development Managers
Nov-50,Nov-41,11-9041.01,11-0000,Nov-00,Food Service Managers
Nov-50,Nov-51,11-9041.01,11-0000,Nov-00,Food Service Managers
Nov-70,Nov-51,11-9041.01,11-0000,Nov-00,Entertainment and Recreation Managers
Nov-70,Nov-71,11-9041.01,11-0000,Nov-00,Gambling Managers
Nov-70,Nov-72,11-9041.01,11-0000,Nov-00,"Entertainment and Recreation Managers, Except Gambling"
Nov-80,Nov-72,11-9041.01,11-0000,Nov-00,Lodging Managers
Nov-80,Nov-81,11-9041.01,11-0000,Nov-00,Lodging Managers
Nov-10,Nov-81,11-9041.01,11-0000,Nov-00,Medical and Health Services Managers
Nov-10,Nov-11,11-9041.01,11-0000,Nov-00,Medical and Health Services Managers
Nov-20,Nov-11,11-9041.01,11-0000,Nov-00,Natural Sciences Managers
Nov-20,Nov-21,11-9041.01,11-0000,Nov-00,Natural Sciences Managers
Nov-20,Nov-21,11-9121.01,11-0000,Nov-00,Clinical Research Coordinators
Nov-20,Nov-21,11-9121.02,11-0000,Nov-00,Water Resource Specialists
Nov-30,Nov-21,11-9121.02,11-0000,Nov-00,Postmasters and Mail Superintendents
Nov-30,Nov-31,11-9121.02,11-0000,Nov-00,Postmasters and Mail Superintendents
Nov-40,Nov-31,11-9121.02,11-0000,Nov-00,"Property, Real Estate, and Community Association Managers"
Nov-40,Nov-41,11-9121.02,11-0000,Nov-00,"Property, Real Estate, and Community Association Managers"
Nov-50,Nov-41,11-9121.02,11-0000,Nov-00,Social and Community Service Managers
Nov-50,Nov-51,11-9121.02,11-0000,Nov-00,Social and Community Service Managers
Nov-60,Nov-51,11-9121.02,11-0000,Nov-00,Emergency Management Directors
Nov-60,Nov-61,11-9121.02,11-0000,Nov-00,Emergency Management Directors
Nov-70,Nov-61,11-9121.02,11-0000,Nov-00,Personal Service Managers
Nov-70,Nov-71,11-9121.02,11-0000,Nov-00,Funeral Home Managers
Nov-70,Nov-79,11-9121.02,11-0000,Nov-00,"Personal Service Managers, All Other"
Nov-70,Nov-79,11-9179.01,11-0000,Nov-00,Fitness and Wellness Coordinators
Nov-70,Nov-79,11-9179.02,11-0000,Nov-00,Spa Managers
Nov-90,Nov-79,11-9179.02,11-0000,Nov-00,Miscellaneous Managers
Nov-90,Nov-99,11-9179.02,11-0000,Nov-00,"Managers, All Other"
Nov-90,Nov-99,11-9199.01,11-0000,Nov-00,Regulatory Affairs Managers
Nov-90,Nov-99,11-9199.02,11-0000,Nov-00,Compliance Managers
Nov-90,Nov-99,11-9199.08,11-0000,Nov-00,Loss Prevention Managers
Nov-90,Nov-99,11-9199.09,11-0000,Nov-00,Wind Energy Operations Managers
Nov-90,Nov-99,11-9199.10,11-0000,Nov-00,Wind Energy Development Managers
Nov-90,Nov-99,11-9199.11,11-0000,Nov-00,Brownfield Redevelopment Specialists and Site Managers
Nov-90,Nov-99,11-9199.11,13-0000,Nov-00,Business and Financial Operations Occupations
Nov-90,Nov-99,11-9199.11,13-0000,13-1000,Business Operations Specialists
13-1010,Nov-99,11-9199.11,13-0000,13-1000,"Agents and Business Managers of Artists, Performers, and Athletes"
13-1010,13-1011,11-9199.11,13-0000,13-1000,"Agents and Business Managers of Artists, Performers, and Athletes"
13-1020,13-1011,11-9199.11,13-0000,13-1000,Buyers and Purchasing Agents
13-1020,13-1021,11-9199.11,13-0000,13-1000,"Buyers and Purchasing Agents, Farm Products"
13-1020,13-1022,11-9199.11,13-0000,13-1000,"Wholesale and Retail Buyers, Except Farm Products"
13-1020,13-1023,11-9199.11,13-0000,13-1000,"Purchasing Agents, Except Wholesale, Retail, and Farm Products"
13-1030,13-1023,11-9199.11,13-0000,13-1000,"Claims Adjusters, Appraisers, Examiners, and Investigators"
13-1030,13-1031,11-9199.11,13-0000,13-1000,"Claims Adjusters, Examiners, and Investigators"
13-1030,13-1032,11-9199.11,13-0000,13-1000,"Insurance Appraisers, Auto Damage"
13-1040,13-1032,11-9199.11,13-0000,13-1000,Compliance Officers
13-1040,13-1041,11-9199.11,13-0000,13-1000,Compliance Officers
13-1040,13-1041,13-1041.01,13-0000,13-1000,Environmental Compliance Inspectors
13-1040,13-1041,13-1041.03,13-0000,13-1000,Equal Opportunity Representatives and Officers
13-1040,13-1041,13-1041.04,13-0000,13-1000,Government Property Inspectors and Investigators
13-1040,13-1041,13-1041.06,13-0000,13-1000,Coroners
13-1040,13-1041,13-1041.07,13-0000,13-1000,Regulatory Affairs Specialists
13-1040,13-1041,13-1041.08,13-0000,13-1000,Customs Brokers
13-1050,13-1041,13-1041.08,13-0000,13-1000,Cost Estimators
13-1050,13-1051,13-1041.08,13-0000,13-1000,Cost Estimators
13-1070,13-1051,13-1041.08,13-0000,13-1000,Human Resources Workers
13-1070,13-1071,13-1041.08,13-0000,13-1000,Human Resources Specialists
13-1070,13-1074,13-1041.08,13-0000,13-1000,Farm Labor Contractors
13-1070,13-1075,13-1041.08,13-0000,13-1000,Labor Relations Specialists
13-1080,13-1075,13-1041.08,13-0000,13-1000,Logisticians and Project Management Specialists
13-1080,13-1081,13-1041.08,13-0000,13-1000,Logisticians
13-1080,13-1081,13-1081.01,13-0000,13-1000,Logistics Engineers
13-1080,13-1081,13-1081.02,13-0000,13-1000,Logistics Analysts
13-1080,13-1082,13-1081.02,13-0000,13-1000,Project Management Specialists
13-1110,13-1082,13-1081.02,13-0000,13-1000,Management Analysts
13-1110,13-1111,13-1081.02,13-0000,13-1000,Management Analysts
13-1120,13-1111,13-1081.02,13-0000,13-1000,"Meeting, Convention, and Event Planners"
13-1120,13-1121,13-1081.02,13-0000,13-1000,"Meeting, Convention, and Event Planners"
13-1130,13-1121,13-1081.02,13-0000,13-1000,Fundraisers
13-1130,13-1131,13-1081.02,13-0000,13-1000,Fundraisers
13-1140,13-1131,13-1081.02,13-0000,13-1000,"Compensation, Benefits, and Job Analysis Specialists"
13-1140,13-1141,13-1081.02,13-0000,13-1000,"Compensation, Benefits, and Job Analysis Specialists"
13-1150,13-1141,13-1081.02,13-0000,13-1000,Training and Development Specialists
13-1150,13-1151,13-1081.02,13-0000,13-1000,Training and Development Specialists
13-1160,13-1151,13-1081.02,13-0000,13-1000,Market Research Analysts and Marketing Specialists
13-1160,13-1161,13-1081.02,13-0000,13-1000,Market Research Analysts and Marketing Specialists
13-1160,13-1161,13-1161.01,13-0000,13-1000,Search Marketing Strategists
