date,domain_source,incumbents_responding,onet_soc_code,task,task_id,task_type,title
08/2023,Incumbent,95,11-1011.00,"Direct or coordinate an organization's financial or budget activities to fund operations, maximize investments, or increase efficiency.",8823,Core,Chief Executives
08/2023,Incumbent,95,11-1011.00,"Confer with board members, organization officials, or staff members to discuss issues, coordinate activities, or resolve problems.",8824,Core,Chief Executives
08/2023,Incumbent,95,11-1011.00,"Prepare budgets for approval, including those for funding or implementation of programs.",8827,Core,Chief Executives
08/2023,Incumbent,94,11-1011.00,"Direct, plan, or implement policies, objectives, or activities of organizations or businesses to ensure continuing operations, to maximize returns on investments, or to increase productivity.",8826,Core,Chief Executives
08/2023,Incumbent,95,11-1011.00,"Prepare or present reports concerning activities, expenses, budgets, government statutes or rulings, or other items affecting businesses or program services.",8834,Core,Chief Executives
08/2023,Incumbent,94,11-1011.00,Implement corrective action plans to solve organizational or departmental problems.,8836,Core,Chief Executives
08/2023,Incumbent,94,11-1011.00,"Analyze operations to evaluate performance of a company or its staff in meeting objectives or to determine areas of potential cost reduction, program improvement, or policy change.",8825,Core,Chief Executives
08/2023,Incumbent,94,11-1011.00,"Direct or coordinate activities of businesses or departments concerned with production, pricing, sales, or distribution of products.",8828,Core,Chief Executives
08/2023,Incumbent,94,11-1011.00,"Direct human resources activities, including the approval of human resource plans or activities, the selection of directors or other high-level staff, or establishment or organization of major departments.",8832,Core,Chief Executives
08/2023,Incumbent,93,11-1011.00,Appoint department heads or managers and assign or delegate responsibilities to them.,8831,Core,Chief Executives
08/2023,Incumbent,95,11-1011.00,"Interpret and explain policies, rules, regulations, or laws to organizations, government or corporate officials, or individuals.",8843,Core,Chief Executives
08/2023,Incumbent,95,11-1011.00,Review reports submitted by staff members to recommend approval or to suggest changes.,8830,Core,Chief Executives
08/2023,Incumbent,95,11-1011.00,"Negotiate or approve contracts or agreements with suppliers, distributors, federal or state agencies, or other organizational entities.",8829,Core,Chief Executives
08/2023,Incumbent,95,11-1011.00,Establish departmental responsibilities and coordinate functions among departments and sites.,8835,Core,Chief Executives
08/2023,Incumbent,95,11-1011.00,"Deliver speeches, write articles, or present information at meetings or conventions to promote services, exchange ideas, or accomplish objectives.",8839,Core,Chief Executives
08/2023,Incumbent,95,11-1011.00,"Serve as liaisons between organizations, shareholders, and outside organizations.",8840,Core,Chief Executives
08/2023,Incumbent,94,11-1011.00,"Coordinate the development or implementation of budgetary control systems, recordkeeping systems, or other administrative control processes.",8837,Core,Chief Executives
08/2023,Incumbent,94,11-1011.00,"Preside over, or serve on, boards of directors, management committees, or other governing boards.",8833,Core,Chief Executives
08/2023,Incumbent,94,11-1011.00,Attend and participate in meetings of municipal councils or council committees.,8849,Core,Chief Executives
08/2023,Incumbent,95,11-1011.00,Organize or approve promotional campaigns.,8850,Core,Chief Executives
08/2023,Incumbent,94,11-1011.00,Nominate citizens to boards or commissions.,8842,Supplemental,Chief Executives
08/2023,Incumbent,95,11-1011.00,"Conduct or direct investigations or hearings to resolve complaints or violations of laws, or testify at such hearings.",8851,Supplemental,Chief Executives
08/2023,Incumbent,94,11-1011.00,Direct or coordinate activities of businesses involved with buying or selling investment products or financial services.,8847,Supplemental,Chief Executives
