commodity_code,commodity_title,example,hot_technology,in_demand,onet_soc_code,title
43232202,Document management software,Adobe Systems Adobe Acrobat,Y,N,11-1011.00,Chief Executives
43232306,Data base user interface and query software,AdSense Tracker,N,N,11-1011.00,Chief Executives
43232201,Content workflow software,Atlassian JIRA,Y,N,11-1011.00,Chief Executives
43232303,Customer relationship management CRM software,Blackbaud The Raiser's Edge,N,N,11-1011.00,Chief Executives
43231601,Accounting software,ComputerEase construction accounting software,N,N,11-1011.00,Chief Executives
43232305,Data base reporting software,Database reporting software,N,N,11-1011.00,Chief Executives
43232306,Data base user interface and query software,Databox,N,N,11-1011.00,Chief Executives
43233501,Electronic mail software,Email software,N,N,11-1011.00,Chief Executives
43231602,Enterprise resource planning ERP software,Enterprise resource planning ERP software,N,N,11-1011.00,Chief Executives
43231605,Time accounting software,Exact Software Macola ES Labor Performance,N,N,11-1011.00,Chief Executives
43232403,Enterprise application integration software,Extensible markup language XML,Y,N,11-1011.00,Chief Executives
43231601,Accounting software,Fund accounting software,N,N,11-1011.00,Chief Executives
43232102,Graphics or photo imaging software,Graphic presentation software,N,N,11-1011.00,Chief Executives
43231505,Human resources software,Halogen e360,N,N,11-1011.00,Chief Executives
43231505,Human resources software,Halogen ePraisal,N,N,11-1011.00,Chief Executives
43231507,Project management software,HCSS HeavyBid,N,N,11-1011.00,Chief Executives
43231507,Project management software,HCSS HeavyJob,N,N,11-1011.00,Chief Executives
43231505,Human resources software,Human resource information system (HRIS),N,N,11-1011.00,Chief Executives
43231505,Human resources software,Infor SSA Human Capital Management,N,N,11-1011.00,Chief Executives
43231601,Accounting software,Intuit QuickBooks,Y,N,11-1011.00,Chief Executives
43233501,Electronic mail software,Listserv software,N,N,11-1011.00,Chief Executives
43232605,Analytical or scientific software,Lyris HQ Web-Analytics Solution,N,N,11-1011.00,Chief Executives
43232106,Presentation software,Mentimeter,N,N,11-1011.00,Chief Executives
43232306,Data base user interface and query software,Microsoft Access,Y,N,11-1011.00,Chief Executives
43231602,Enterprise resource planning ERP software,Microsoft Dynamics,Y,N,11-1011.00,Chief Executives
43231602,Enterprise resource planning ERP software,Microsoft Dynamics AX,N,N,11-1011.00,Chief Executives
43231602,Enterprise resource planning ERP software,Microsoft Dynamics GP,N,N,11-1011.00,Chief Executives
43232110,Spreadsheet software,Microsoft Excel,Y,Y,11-1011.00,Chief Executives
43231604,Financial analysis software,Microsoft FRx,N,N,11-1011.00,Chief Executives
43231513,Office suite software,Microsoft Office software,Y,Y,11-1011.00,Chief Executives
43233501,Electronic mail software,Microsoft Outlook,Y,N,11-1011.00,Chief Executives
43232106,Presentation software,Microsoft PowerPoint,Y,Y,11-1011.00,Chief Executives
43231507,Project management software,Microsoft Project,Y,N,11-1011.00,Chief Executives
43232112,Desktop publishing software,Microsoft Publisher,N,N,11-1011.00,Chief Executives
43233513,Cloud-based data access and sharing software,Microsoft SharePoint,Y,N,11-1011.00,Chief Executives
43232104,Word processing software,Microsoft Word,Y,N,11-1011.00,Chief Executives
43232605,Analytical or scientific software,Nedstat Sitestat,N,N,11-1011.00,Chief Executives
43231605,Time accounting software,Norchard Solutions Succession Wizard,N,N,11-1011.00,Chief Executives
43232605,Analytical or scientific software,Online advertising reporting software,N,N,11-1011.00,Chief Executives
43231602,Enterprise resource planning ERP software,Oracle E-Business Suite,N,N,11-1011.00,Chief Executives
43231602,Enterprise resource planning ERP software,Oracle PeopleSoft,N,N,11-1011.00,Chief Executives
43232303,Customer relationship management CRM software,Oracle Siebel Server Sync,N,N,11-1011.00,Chief Executives
43232408,Web platform development software,PHP,Y,N,11-1011.00,Chief Executives
43232304,Data base management system software,Relational database management software,N,N,11-1011.00,Chief Executives
43231601,Accounting software,Sage 50 Accounting,N,N,11-1011.00,Chief Executives
43231602,Enterprise resource planning ERP software,SAP software,Y,N,11-1011.00,Chief Executives
43232102,Graphics or photo imaging software,SmugMug Flickr,N,N,11-1011.00,Chief Executives
43232306,Data base user interface and query software,Structured query language SQL,Y,N,11-1011.00,Chief Executives
43232705,Internet browser software,Web browser software,N,N,11-1011.00,Chief Executives
43232202,Document management software,Adobe Systems Adobe Acrobat,Y,N,11-1011.03,Chief Sustainability Officers
43232102,Graphics or photo imaging software,Adobe Systems Adobe Photoshop,Y,N,11-1011.03,Chief Sustainability Officers
43233501,Electronic mail software,Email software,N,N,11-1011.03,Chief Sustainability Officers
43232107,Web page creation and editing software,Facebook,Y,N,11-1011.03,Chief Sustainability Officers
43231602,Enterprise resource planning ERP software,Management information systems MIS,N,Y,11-1011.03,Chief Sustainability Officers
