commodity_code,commodity_title,example,onet_soc_code,title
44101809,Desktop calculator,10-key calculators,11-1011.00,Chief Executives
43211507,Desktop computers,Desktop computers,11-1011.00,Chief Executives
43211503,Notebook computers,Laptop computers,11-1011.00,Chief Executives
43211508,Personal computers,Personal computers,11-1011.00,Chief Executives
43211504,Personal digital assistant PDAs or organizers,Personal digital assistants PDA,11-1011.00,Chief Executives
43191501,Mobile phones,Smartphones,11-1011.00,Chief Executives
43201813,High capacity removable media drives,Universal serial bus USB flash drives,11-1011.00,Chief Executives
44101809,Desktop calculator,10-key calculators,11-1011.03,Chief Sustainability Officers
43211711,Scanners,Computer data input scanners,11-1011.03,Chief Sustainability Officers
43211507,Desktop computers,Desktop computers,11-1011.03,Chief Sustainability Officers
43211715,Portable data input terminals,Handheld computers,11-1011.03,Chief Sustainability Officers
43211503,Notebook computers,Laptop computers,11-1011.03,Chief Sustainability Officers
43191507,Special purpose telephones,Multi-line telephone systems,11-1011.03,Chief Sustainability Officers
43211508,Personal computers,Personal computers,11-1011.03,Chief Sustainability Officers
44101501,Photocopiers,Photocopying equipment,11-1011.03,Chief Sustainability Officers
43191501,Mobile phones,Smartphones,11-1011.03,Chief Sustainability Officers
45111902,Videoconferencing systems,Video teleconferencing systems,11-1011.03,Chief Sustainability Officers
44101809,Desktop calculator,10-key calculators,11-1021.00,General and Operations Managers
43191501,Mobile phones,Cell phones,11-1021.00,General and Operations Managers
43211711,Scanners,Computer scanners,11-1021.00,General and Operations Managers
43211702,Magnetic stripe readers and encoders,Credit card processing machines,11-1021.00,General and Operations Managers
43211507,Desktop computers,Desktop computers,11-1021.00,General and Operations Managers
45121504,Digital cameras,Digital cameras,11-1021.00,General and Operations Managers
24101504,Hand trucks or accessories,Handtrucks,11-1021.00,General and Operations Managers
41103418,Temperature and humidity walk in environmental chamber,Humidity test chambers,11-1021.00,General and Operations Managers
43211503,Notebook computers,Laptop computers,11-1021.00,General and Operations Managers
43211702,Magnetic stripe readers and encoders,Magnetic card readers,11-1021.00,General and Operations Managers
43211508,Personal computers,Personal computers,11-1021.00,General and Operations Managers
43211504,Personal digital assistant PDAs or organizers,Personal digital assistants PDA,11-1021.00,General and Operations Managers
44101501,Photocopiers,Photocopying equipment,11-1021.00,General and Operations Managers
43211505,Point of sale POS terminal,Point of sale POS systems,11-1021.00,General and Operations Managers
41114508,Surface testers,Profilometers,11-1021.00,General and Operations Managers
41115403,Spectrometers,Spectrometers,11-1021.00,General and Operations Managers
46171610,Security cameras,Surveillance cameras,11-1021.00,General and Operations Managers
41103305,High vacuum equipment,Vacuum test chambers,11-1021.00,General and Operations Managers
43212105,Laser printers,Computer laser printers,11-1031.00,Legislators
43211503,Notebook computers,Laptop computers,11-1031.00,Legislators
43211509,Tablet computers,Tablet computers,11-1031.00,Legislators
43212105,Laser printers,Wireless desktop printers,11-1031.00,Legislators
43211711,Scanners,Computer data input scanners,11-2011.00,Advertising and Promotions Managers
43211507,Desktop computers,Desktop computers,11-2011.00,Advertising and Promotions Managers
43211715,Portable data input terminals,Handheld computers,11-2011.00,Advertising and Promotions Managers
43211503,Notebook computers,Laptop computers,11-2011.00,Advertising and Promotions Managers
44101508,Laser fax machine,Laser facsimile machines,11-2011.00,Advertising and Promotions Managers
43191507,Special purpose telephones,Multi-line telephone systems,11-2011.00,Advertising and Promotions Managers
43211503,Notebook computers,Notebook computers,11-2011.00,Advertising and Promotions Managers
43211508,Personal computers,Personal computers,11-2011.00,Advertising and Promotions Managers
43211504,Personal digital assistant PDAs or organizers,Personal digital assistants PDA,11-2011.00,Advertising and Promotions Managers
