class_code,class_title,commodity_code,commodity_title,family_code,family_title,segment_code,segment_title
10111300,Domestic pet treatments and accessories and equipment,10111302,Pet grooming products,10110000,Domestic pet products,10000000,Live Plant and Animal Material and Accessories and Supplies
10111300,Domestic pet treatments and accessories and equipment,10111306,Domestic pet training kits,10110000,Domestic pet products,10000000,Live Plant and Animal Material and Accessories and Supplies
10131600,Animal containment,10131601,Cages or its accessories,10130000,Animal containment and habitats,10000000,Live Plant and Animal Material and Accessories and Supplies
10131600,Animal containment,10131602,Kennels,10130000,Animal containment and habitats,10000000,Live Plant and Animal Material and Accessories and Supplies
10131600,Animal containment,10131605,Animal transport cage,10130000,Animal containment and habitats,10000000,Live Plant and Animal Material and Accessories and Supplies
10131700,Animal habitats,10131702,Aquariums,10130000,Animal containment and habitats,10000000,Live Plant and Animal Material and Accessories and Supplies
10141500,Saddlery,10141501,Saddles,10140000,Saddlery and harness goods,10000000,Live Plant and Animal Material and Accessories and Supplies
10141500,Saddlery,10141502,Whips,10140000,Saddlery and harness goods,10000000,Live Plant and Animal Material and Accessories and Supplies
10141600,Harness goods,10141601,Bridles,10140000,Saddlery and harness goods,10000000,Live Plant and Animal Material and Accessories and Supplies
10141600,Harness goods,10141604,Reins,10140000,Saddlery and harness goods,10000000,Live Plant and Animal Material and Accessories and Supplies
10141600,Harness goods,10141606,Leashes or leads,10140000,Saddlery and harness goods,10000000,Live Plant and Animal Material and Accessories and Supplies
10141600,Harness goods,10141607,Animal collars,10140000,Saddlery and harness goods,10000000,Live Plant and Animal Material and Accessories and Supplies
10141600,Harness goods,10141608,Harnesses or its accessories,10140000,Saddlery and harness goods,10000000,Live Plant and Animal Material and Accessories and Supplies
10141600,Harness goods,10141609,Restraints,10140000,Saddlery and harness goods,10000000,Live Plant and Animal Material and Accessories and Supplies
10141600,Harness goods,10141610,Muzzles,10140000,Saddlery and harness goods,10000000,Live Plant and Animal Material and Accessories and Supplies
10141600,Harness goods,10141612,Dog catching pole,10140000,Saddlery and harness goods,10000000,Live Plant and Animal Material and Accessories and Supplies
10191700,Pest control devices,10191701,Animal control traps,10190000,Pest control products,10000000,Live Plant and Animal Material and Accessories and Supplies
10191700,Pest control devices,10191703,Flying insect control traps,10190000,Pest control products,10000000,Live Plant and Animal Material and Accessories and Supplies
10191700,Pest control devices,10191705,Lariats,10190000,Pest control products,10000000,Live Plant and Animal Material and Accessories and Supplies
11111600,Stone,11111610,Pumice stone,11110000,Earth and stone,11000000,Mineral and Textile and Inedible Plant and Animal Materials
11162100,Specialty fabrics or cloth,11162110,Netting,11160000,Fabrics and leather materials,11000000,Mineral and Textile and Inedible Plant and Animal Materials
12131600,Pyrotechnics,12131604,Flares,12130000,Explosive materials,12000000,Chemicals including Bio Chemicals and Gas Materials
12131700,Igniters,12131701,Blasting caps,12130000,Explosive materials,12000000,Chemicals including Bio Chemicals and Gas Materials
12131700,Igniters,12131702,Detonators,12130000,Explosive materials,12000000,Chemicals including Bio Chemicals and Gas Materials
12131700,Igniters,12131703,Explosives fuses,12130000,Explosive materials,12000000,Chemicals including Bio Chemicals and Gas Materials
12131700,Igniters,12131704,Explosive initiators,12130000,Explosive materials,12000000,Chemicals including Bio Chemicals and Gas Materials
12131700,Igniters,12131707,Lighters,12130000,Explosive materials,12000000,Chemicals including Bio Chemicals and Gas Materials
12131700,Igniters,12131708,Detonator box,12130000,Explosive materials,12000000,Chemicals including Bio Chemicals and Gas Materials
12162500,Emulsion breakers,12162503,Flotation aids,12160000,Additives,12000000,Chemicals including Bio Chemicals and Gas Materials
14111500,Printing and writing paper,14111513,Ledger paper,14110000,Paper products,14000000,Paper Materials and Products
14111800,Business use papers,14111802,Receipts or receipt books,14110000,Paper products,14000000,Paper Materials and Products
15131600,Fission fuel assemblies,15131601,Nuclear fuel rod,15130000,Fuel for nuclear reactors,15000000,Fuels and Fuel Additives and Lubricants and Anti corrosive Materials
20101500,Cutting equipment,20101501,Continuous mining equipment,20100000,Mining and quarrying machinery and equipment,20000000,Mining and Well Drilling Machinery and Accessories
20101500,Cutting equipment,20101502,Longwall shears,20100000,Mining and quarrying machinery and equipment,20000000,Mining and Well Drilling Machinery and Accessories
20101500,Cutting equipment,20101504,Rock cutters,20100000,Mining and quarrying machinery and equipment,20000000,Mining and Well Drilling Machinery and Accessories
20101600,Screens and feeding equipment,20101601,Screens,20100000,Mining and quarrying machinery and equipment,20000000,Mining and Well Drilling Machinery and Accessories
20101600,Screens and feeding equipment,20101619,Weigh belt feeder,20100000,Mining and quarrying machinery and equipment,20000000,Mining and Well Drilling Machinery and Accessories
20101700,Crushers and breakers and grinders,20101701,Rock crushers,20100000,Mining and quarrying machinery and equipment,20000000,Mining and Well Drilling Machinery and Accessories
20101700,Crushers and breakers and grinders,20101702,Roll crushers,20100000,Mining and quarrying machinery and equipment,20000000,Mining and Well Drilling Machinery and Accessories
20101700,Crushers and breakers and grinders,20101704,Gyratory crushers,20100000,Mining and quarrying machinery and equipment,20000000,Mining and Well Drilling Machinery and Accessories
20101700,Crushers and breakers and grinders,20101705,Impact crushers,20100000,Mining and quarrying machinery and equipment,20000000,Mining and Well Drilling Machinery and Accessories
20101700,Crushers and breakers and grinders,20101706,Jaw crushers,20100000,Mining and quarrying machinery and equipment,20000000,Mining and Well Drilling Machinery and Accessories
20101700,Crushers and breakers and grinders,20101710,Pulverizing machinery,20100000,Mining and quarrying machinery and equipment,20000000,Mining and Well Drilling Machinery and Accessories
20101700,Crushers and breakers and grinders,20101713,Cyclone or vortex grinders,20100000,Mining and quarrying machinery and equipment,20000000,Mining and Well Drilling Machinery and Accessories
20101700,Crushers and breakers and grinders,20101716,Crusher hammer,20100000,Mining and quarrying machinery and equipment,20000000,Mining and Well Drilling Machinery and Accessories
20101800,Mechanized ground support systems,20101801,Cable bolters,20100000,Mining and quarrying machinery and equipment,20000000,Mining and Well Drilling Machinery and Accessories
20101800,Mechanized ground support systems,20101803,Boom bolters,20100000,Mining and quarrying machinery and equipment,20000000,Mining and Well Drilling Machinery and Accessories
20101800,Mechanized ground support systems,20101804,Shotcrete spraying equipment,20100000,Mining and quarrying machinery and equipment,20000000,Mining and Well Drilling Machinery and Accessories
20101900,Secondary rock breaking systems,20101902,Repetitive impact systems,20100000,Mining and quarrying machinery and equipment,20000000,Mining and Well Drilling Machinery and Accessories
20102000,Exploration and development systems,20102007,Core drills,20100000,Mining and quarrying machinery and equipment,20000000,Mining and Well Drilling Machinery and Accessories
20102100,Rock drills,20102101,Pneumatic rock drills,20100000,Mining and quarrying machinery and equipment,20000000,Mining and Well Drilling Machinery and Accessories
20102100,Rock drills,20102102,Hydraulic rock drills,20100000,Mining and quarrying machinery and equipment,20000000,Mining and Well Drilling Machinery and Accessories
20102100,Rock drills,20102103,Hand held rock drills,20100000,Mining and quarrying machinery and equipment,20000000,Mining and Well Drilling Machinery and Accessories
20102200,Explosive loading machinery,20102201,Ammonium nitrate and fuel oil ANFO loading machinery,20100000,Mining and quarrying machinery and equipment,20000000,Mining and Well Drilling Machinery and Accessories
20102200,Explosive loading machinery,20102203,Explosive loading machinery spare parts or accessories,20100000,Mining and quarrying machinery and equipment,20000000,Mining and Well Drilling Machinery and Accessories
20102300,Underground mining service vehicles,20102304,Bulk material carriers,20100000,Mining and quarrying machinery and equipment,20000000,Mining and Well Drilling Machinery and Accessories
20111600,Drilling and operation machinery,20111601,Boring or sinking machinery,20110000,Well drilling and operation equipment,20000000,Mining and Well Drilling Machinery and Accessories
20111600,Drilling and operation machinery,20111603,Hammer drills,20110000,Well drilling and operation equipment,20000000,Mining and Well Drilling Machinery and Accessories
20111600,Drilling and operation machinery,20111608,Striking hammers,20110000,Well drilling and operation equipment,20000000,Mining and Well Drilling Machinery and Accessories
20111600,Drilling and operation machinery,20111609,Sinker drills,20110000,Well drilling and operation equipment,20000000,Mining and Well Drilling Machinery and Accessories
20111600,Drilling and operation machinery,20111611,Rotary drills,20110000,Well drilling and operation equipment,20000000,Mining and Well Drilling Machinery and Accessories
20111600,Drilling and operation machinery,20111614,Industrial drill bits,20110000,Well drilling and operation equipment,20000000,Mining and Well Drilling Machinery and Accessories
20111600,Drilling and operation machinery,20111616,Derricks,20110000,Well drilling and operation equipment,20000000,Mining and Well Drilling Machinery and Accessories
20111600,Drilling and operation machinery,20111618,Downhole fishing poles,20110000,Well drilling and operation equipment,20000000,Mining and Well Drilling Machinery and Accessories
20111700,Drilling and operation accessories,20111702,Packers or tubing anchors,20110000,Well drilling and operation equipment,20000000,Mining and Well Drilling Machinery and Accessories
20111700,Drilling and operation accessories,20111703,Drilling casings,20110000,Well drilling and operation equipment,20000000,Mining and Well Drilling Machinery and Accessories
20111700,Drilling and operation accessories,20111704,Drilling screens,20110000,Well drilling and operation equipment,20000000,Mining and Well Drilling Machinery and Accessories
20121100,Cementing equipment,20121104,Cement bulk material equipment,20120000,Oil and gas drilling and exploration equipment,20000000,Mining and Well Drilling Machinery and Accessories
20121100,Cementing equipment,20121109,Cement pumping units,20120000,Oil and gas drilling and exploration equipment,20000000,Mining and Well Drilling Machinery and Accessories
20121100,Cementing equipment,20121110,Cement retainers,20120000,Oil and gas drilling and exploration equipment,20000000,Mining and Well Drilling Machinery and Accessories
20121100,Cementing equipment,20121115,Oilfield cementing tools,20120000,Oil and gas drilling and exploration equipment,20000000,Mining and Well Drilling Machinery and Accessories
20121300,Sand control equipment,20121316,Sand control screens,20120000,Oil and gas drilling and exploration equipment,20000000,Mining and Well Drilling Machinery and Accessories
20121400,Completion tools and equipment,20121404,Completion bull plugs,20120000,Oil and gas drilling and exploration equipment,20000000,Mining and Well Drilling Machinery and Accessories
20121400,Completion tools and equipment,20121413,Completion hydraulic pumps,20120000,Oil and gas drilling and exploration equipment,20000000,Mining and Well Drilling Machinery and Accessories
20121400,Completion tools and equipment,20121449,Plunger lift equipment,20120000,Oil and gas drilling and exploration equipment,20000000,Mining and Well Drilling Machinery and Accessories
20121500,Conventional drilling tools,20121501,Blowout preventers,20120000,Oil and gas drilling and exploration equipment,20000000,Mining and Well Drilling Machinery and Accessories
