data_value,date,domain_source,element_id,element_name,lower_ci_bound,n,onet_soc_code,recommend_suppress,scale_id,scale_name,standard_error,title,upper_ci_bound
4.69,08/2023,Incumbent,1.C.1.a,Achievement/Effort,4.44,28,11-1011.00,N,IM,Importance,0.12,Chief Executives,4.94
4.76,08/2023,Incumbent,1.C.1.b,Persistence,4.53,28,11-1011.00,N,IM,Importance,0.11,Chief Executives,4.98
4.85,08/2023,Incumbent,1.C.1.c,Initiative,4.69,28,11-1011.00,N,IM,Importance,0.08,Chief Executives,5.0
4.97,08/2023,Incumbent,1.C.2.b,Leadership,4.93,28,11-1011.00,N,IM,Importance,0.02,Chief Executives,5.0
4.63,08/2023,Incumbent,1.C.3.a,Cooperation,4.24,27,11-1011.00,N,IM,Importance,0.19,Chief Executives,5.0
4.5,08/2023,Incumbent,1.C.3.b,Concern for Others,4.15,28,11-1011.00,N,IM,Importance,0.17,Chief Executives,4.85
3.95,08/2023,Incumbent,1.C.3.c,Social Orientation,3.53,28,11-1011.00,N,IM,Importance,0.2,Chief Executives,4.36
4.21,08/2023,Incumbent,1.C.4.a,Self-Control,3.79,28,11-1011.00,N,IM,Importance,0.21,Chief Executives,4.64
4.43,08/2023,Incumbent,1.C.4.b,Stress Tolerance,4.12,28,11-1011.00,N,IM,Importance,0.15,Chief Executives,4.73
4.35,08/2023,Incumbent,1.C.4.c,Adaptability/Flexibility,4.01,28,11-1011.00,N,IM,Importance,0.17,Chief Executives,4.69
4.57,08/2023,Incumbent,1.C.5.a,Dependability,4.21,28,11-1011.00,N,IM,Importance,0.18,Chief Executives,4.94
4.44,08/2023,Incumbent,1.C.5.b,Attention to Detail,4.11,28,11-1011.00,N,IM,Importance,0.16,Chief Executives,4.78
4.69,08/2023,Incumbent,1.C.5.c,Integrity,4.28,28,11-1011.00,N,IM,Importance,0.2,Chief Executives,5.0
4.13,08/2023,Incumbent,1.C.6,Independence,3.84,28,11-1011.00,N,IM,Importance,0.14,Chief Executives,4.41
4.05,08/2023,Incumbent,1.C.7.a,Innovation,3.77,27,11-1011.00,N,IM,Importance,0.14,Chief Executives,4.33
4.7,08/2023,Incumbent,1.C.7.b,Analytical Thinking,4.46,27,11-1011.00,N,IM,Importance,0.12,Chief Executives,4.95
4.19,08/2021,Occupational Expert,1.C.1.a,Achievement/Effort,4.46,27,11-1011.03,N,IM,Importance,0.12,Chief Sustainability Officers,4.95
4.63,08/2021,Occupational Expert,1.C.1.b,Persistence,4.46,27,11-1011.03,N,IM,Importance,0.12,Chief Sustainability Officers,4.95
4.74,08/2021,Occupational Expert,1.C.1.c,Initiative,4.46,27,11-1011.03,N,IM,Importance,0.12,Chief Sustainability Officers,4.95
4.81,08/2021,Occupational Expert,1.C.2.b,Leadership,4.46,27,11-1011.03,N,IM,Importance,0.12,Chief Sustainability Officers,4.95
4.67,08/2021,Occupational Expert,1.C.3.a,Cooperation,4.46,27,11-1011.03,N,IM,Importance,0.12,Chief Sustainability Officers,4.95
4.0,08/2021,Occupational Expert,1.C.3.b,Concern for Others,4.46,27,11-1011.03,N,IM,Importance,0.12,Chief Sustainability Officers,4.95
3.78,08/2021,Occupational Expert,1.C.3.c,Social Orientation,4.46,27,11-1011.03,N,IM,Importance,0.12,Chief Sustainability Officers,4.95
