data_value,date,domain_source,element_id,element_name,onet_soc_code,scale_id,scale_name,title
6.33,06/2008,Analyst,1.B.2.a,Achievement,11-1011.00,EX,Extent,Chief Executives
6.33,06/2008,Analyst,1.B.2.b,Working Conditions,11-1011.00,EX,Extent,Chief Executives
7.0,06/2008,Analyst,1.B.2.c,Recognition,11-1011.00,EX,Extent,Chief Executives
5.0,06/2008,Analyst,1.B.2.d,Relationships,11-1011.00,EX,Extent,Chief Executives
5.33,06/2008,Analyst,1.B.2.e,Support,11-1011.00,EX,Extent,Chief Executives
7.0,06/2008,Analyst,1.B.2.f,Independence,11-1011.00,EX,Extent,Chief Executives
3.0,06/2008,Analyst,1.B.2.g,First Work Value High-Point,11-1011.00,VH,Work Value High-Point,Chief Executives
6.0,06/2008,Analyst,1.B.2.h,Second Work Value High-Point,11-1011.00,VH,Work Value High-Point,Chief Executives
1.0,06/2008,Analyst,1.B.2.i,Third Work Value High-Point,11-1011.00,VH,Work Value High-Point,Chief Executives
6.67,07/2012,Analyst,1.B.2.a,Achievement,11-1011.03,EX,Extent,Chief Sustainability Officers
6.33,07/2012,Analyst,1.B.2.b,Working Conditions,11-1011.03,EX,Extent,Chief Sustainability Officers
6.0,07/2012,Analyst,1.B.2.c,Recognition,11-1011.03,EX,Extent,Chief Sustainability Officers
5.0,07/2012,Analyst,1.B.2.d,Relationships,11-1011.03,EX,Extent,Chief Sustainability Officers
3.33,07/2012,Analyst,1.B.2.e,Support,11-1011.03,EX,Extent,Chief Sustainability Officers
6.67,07/2012,Analyst,1.B.2.f,Independence,11-1011.03,EX,Extent,Chief Sustainability Officers
1.0,07/2012,Analyst,1.B.2.g,First Work Value High-Point,11-1011.03,VH,Work Value High-Point,Chief Sustainability Officers
6.0,07/2012,Analyst,1.B.2.h,Second Work Value High-Point,11-1011.03,VH,Work Value High-Point,Chief Sustainability Officers
2.0,07/2012,Analyst,1.B.2.i,Third Work Value High-Point,11-1011.03,VH,Work Value High-Point,Chief Sustainability Officers
5.33,06/2008,Analyst,1.B.2.a,Achievement,11-1021.00,EX,Extent,General and Operations Managers
6.0,06/2008,Analyst,1.B.2.b,Working Conditions,11-1021.00,EX,Extent,General and Operations Managers
5.67,06/2008,Analyst,1.B.2.c,Recognition,11-1021.00,EX,Extent,General and Operations Managers
6.33,06/2008,Analyst,1.B.2.d,Relationships,11-1021.00,EX,Extent,General and Operations Managers
4.67,06/2008,Analyst,1.B.2.e,Support,11-1021.00,EX,Extent,General and Operations Managers
6.0,06/2008,Analyst,1.B.2.f,Independence,11-1021.00,EX,Extent,General and Operations Managers
4.0,06/2008,Analyst,1.B.2.g,First Work Value High-Point,11-1021.00,VH,Work Value High-Point,General and Operations Managers
6.0,06/2008,Analyst,1.B.2.h,Second Work Value High-Point,11-1021.00,VH,Work Value High-Point,General and Operations Managers
2.0,06/2008,Analyst,1.B.2.i,Third Work Value High-Point,11-1021.00,VH,Work Value High-Point,General and Operations Managers
5.33,06/2008,Analyst,1.B.2.a,Achievement,11-1031.00,EX,Extent,Legislators
4.33,06/2008,Analyst,1.B.2.b,Working Conditions,11-1031.00,EX,Extent,Legislators
5.0,06/2008,Analyst,1.B.2.c,Recognition,11-1031.00,EX,Extent,Legislators
5.67,06/2008,Analyst,1.B.2.d,Relationships,11-1031.00,EX,Extent,Legislators
4.0,06/2008,Analyst,1.B.2.e,Support,11-1031.00,EX,Extent,Legislators
5.0,06/2008,Analyst,1.B.2.f,Independence,11-1031.00,EX,Extent,Legislators
4.0,06/2008,Analyst,1.B.2.g,First Work Value High-Point,11-1031.00,VH,Work Value High-Point,Legislators
1.0,06/2008,Analyst,1.B.2.h,Second Work Value High-Point,11-1031.00,VH,Work Value High-Point,Legislators
3.0,06/2008,Analyst,1.B.2.i,Third Work Value High-Point,11-1031.00,VH,Work Value High-Point,Legislators
5.33,06/2008,Analyst,1.B.2.a,Achievement,11-2011.00,EX,Extent,Advertising and Promotions Managers
5.33,06/2008,Analyst,1.B.2.b,Working Conditions,11-2011.00,EX,Extent,Advertising and Promotions Managers
5.33,06/2008,Analyst,1.B.2.c,Recognition,11-2011.00,EX,Extent,Advertising and Promotions Managers
5.0,06/2008,Analyst,1.B.2.d,Relationships,11-2011.00,EX,Extent,Advertising and Promotions Managers
4.0,06/2008,Analyst,1.B.2.e,Support,11-2011.00,EX,Extent,Advertising and Promotions Managers
5.33,06/2008,Analyst,1.B.2.f,Independence,11-2011.00,EX,Extent,Advertising and Promotions Managers
2.0,06/2008,Analyst,1.B.2.g,First Work Value High-Point,11-2011.00,VH,Work Value High-Point,Advertising and Promotions Managers
1.0,06/2008,Analyst,1.B.2.h,Second Work Value High-Point,11-2011.00,VH,Work Value High-Point,Advertising and Promotions Managers
6.0,06/2008,Analyst,1.B.2.i,Third Work Value High-Point,11-2011.00,VH,Work Value High-Point,Advertising and Promotions Managers
6.0,06/2008,Analyst,1.B.2.a,Achievement,11-2021.00,EX,Extent,Marketing Managers
