2010_eeo_tabulation_census_code,2010_eeo_tabulation_census_occupation_title,2010_soc_code,opm_series_category,opm_series_number,opm_series_title
1530,"MISCELLANEOUS ENGINEERS, INCLUDING NUCLEAR ENGINEERS",17-21,GENERAL ENGINEERING,GS-0801,General Engineer
1430,"INDUSTRIAL ENGINEERS, INCLUDING HEALTH & SAFETY",17-2110,SAFETY ENGINEERING,GS-0803,Safety Engineer
1430,"INDUSTRIAL ENGINEERS, INCLUDING HEALTH & SAFETY",17-2110,FIRE PROTECTION ENGINEERING,GS-0804,Fire Protection Engineer
1450,MATERIALS ENGINEERS,17-2131,MATERIALS ENGINEERING,GS-0806,Materials Engineer
1450,MATERIALS ENGINEERS,17-2131,MATERIALS ENGINEERING,GS-0806,Materials Engineer (Ceramics)
1300,ARCHITECTS,17-1010,ARCHITECTURE,GS-0808,Architect
1300,ARCHITECTS,17-1010,LANDSCAPE ARCHITECTURE,GS-0807,Landscape Architect
1360,CIVIL ENGINEERS,17-2051,CIVIL ENGINEERING,GS-0810,Civil Engineer
1360,CIVIL ENGINEERS,17-2051,CIVIL ENGINEERING,GS-0810,Civil Engineer (Structural)
1420,ENVIRONMENTAL ENGINEERS,17-2081,ENVIRONMENTAL ENGINEERING,GS-0819,Environmental Engineer
1460,MECHANICAL ENGINEERS,17-2141,MECHANICAL ENGINEERING,GS-0830,Mechanical Engineer
1530,"MISCELLANEOUS ENGINEERS, INCLUDING NUCLEAR ENGINEERS",17-21,NUCLEAR ENGINEERING,GS-0840,Nuclear Engineer
1400,COMPUTER HARDWARE ENGINEERS,17-2061,COMPUTER ENGINEERING,GS-0854,Computer Engineer
1410,ELECTRICAL & ELECTRONIC ENGINEERS,17-2070,ELECTRICAL ENGINEERING,GS-0850,Electrical Engineer
1410,ELECTRICAL & ELECTRONIC ENGINEERS,17-2070,ELECTRONICS ENGINEERING,GS-0855,Electronics Engineer
1440,MARINE ENGINEERS & NAVAL ARCHITECTS,17-2121,NAVAL ARCHITECTURE,GS-0871,Naval Architect
1350,CHEMICAL ENGINEERS,17-2041,CHEMICAL ENGINEERING,GS-0893,Chemical Engineer
1530,"MISCELLANEOUS ENGINEERS, INCLUDING NUCLEAR ENGINEERS",17-21,GENERAL ENGINEERING,GS-0801,Welding Engineer
1430,"INDUSTRIAL ENGINEERS, INCLUDING HEALTH & SAFETY",17-2110,INDUSTRIAL ENGINEERING,GS-0896,Industrial Engineer
